T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
217307, -461, -843, -23, 118090, 369950, -249550
217327, -284, -707, -57, 117810, 51590, -214830
217347, -281, -845, -192, 67130, -305340, -255780
217367, -184, -789, -256, -118510, -328510, -285040
217387, -128, -778, -334, -261940, -226030, -327670
217407, -105, -598, -126, -198520, -172830, -295050
217427, -105, -627, -43, -46480, -137340, -240450
217447, -158, -791, -213, -63560, -168140, -156940
217467, -282, -1196, -465, -282450, -170590, -27160
217487, -368, -1494, -524, -386120, -179690, 93100
217507, -273, -1223, -261, -207830, -182910, 106750
217527, -223, -953, -226, -27300, -189700, 96740
217547, -296, -1175, -354, -79520, -193130, 130130
217567, -495, -1701, -547, -155190, -233450, 208600
217587, -568, -1815, -555, -84140, -330400, 328370
217607, -435, -1539, -454, 62020, -418670, 382830
217627, -403, -1550, -474, 96250, -335300, 158550
217647, -471, -1680, -544, 166460, -407890, 204890
217667, -465, -1572, -497, 267330, -487200, 244650
217687, -393, -1377, -440, 269080, -427000, 128310
217707, -309, -1228, -415, 223160, -322700, -28910
217727, -235, -1011, -347, 241010, -296030, -79030
217747, -188, -785, -272, 294700, -306670, -67480
217767, -143, -559, -209, 316190, -271950, -102760
217787, -108, -374, -151, 305760, -190540, -191100
217807, -79, -262, -88, 304010, -103670, -284340
217827, -3, -149, 38, 277480, -33320, -335160
217847, 39, -160, 38, 169750, 13370, -308560
217867, 35, -230, -20, 5320, 36750, -202720
217887, 18, -341, -8, -116970, 64050, -85050
217907, -211, -1097, -301, -241990, 89600, 51170
217927, -1490, -1998, -1773, -472500, 87080, 263830
217947, -767, -1976, -514, -365470, 91840, 285390
217967, -203, -855, -75, 153020, 324730, -280070
217987, -121, -743, -203, -95690, 591010, -465570
218007, -145, -920, -327, -392140, 678790, -311570
218027, -224, -831, -384, -421330, 625870, -80710
218047, -965, -1998, -991, -269640, 512400, 121100
218067, -893, -1998, -822, 15680, 561470, -38920
218087, -500, -1702, -520, 115150, 689920, -268870
218107, -330, -954, -309, 40390, 601230, -128380
218127, -337, -833, -313, 102200, 499170, -39060
218147, -247, -651, -41, 235270, 470610, -71680
218167, -247, -852, -131, 249620, 502110, -162540
218187, -218, -915, -217, 59430, 491680, -142660
218207, -250, -770, -288, -110390, 440160, -46130
218227, -164, -404, -93, -41860, 324100, 71680
218247, -162, -295, 17, 160300, 263620, 45150
218267, -148, -311, 125, 272720, 218190, -7490
218287, -105, -391, 48, 204330, 218820, -92960
218307, -133, -714, -162, -102900, 263760, -151550
218327, -374, -1512, -571, -372120, 258580, -101640
218347, -443, -1450, -523, -386540, 125510, 80920
218367, -256, -783, -54, -47180, -77770, 216300
218387, -103, -444, 15, 224140, -111860, 87500
218407, -67, -398, -53, 12740, -13090, -64330
218427, -114, -480, -80, -190190, -21000, -42560
218447, -221, -675, -96, -141120, -150500, 98000
218467, -315, -979, -255, -90860, -329700, 248990
218487, -266, -1013, -397, -230930, -246960, 119700
218507, -155, -731, -290, -123340, -199990, -6300
218527, -88, -491, -58, 167650, -268940, -9940
218547, -88, -374, 186, 230650, -354550, 80220
218567, -317, -798, -193, -155960, -375760, 223650
218587, -934, -1998, -1335, -629790, -329420, 317310
218607, -557, -1987, -684, -433440, -232470, 115570
218627, -192, -1207, -23, 94080, -165620, -152040
218647, -518, -1778, -632, -199150, -166180, 62580
218667, -726, -1998, -989, -449540, -180180, 267750
218687, -132, -738, -165, -121660, -98070, 63140
218707, 51, -428, 33, 99960, 49210, -176540
218727, -126, -798, -337, -146930, 75740, 6020
218747, -552, -1945, -962, -372470, 44380, 271530
218767, -430, -1371, -637, -166950, 90020, 248150
218787, -168, -690, -154, 217420, 306320, -97860
218807, -113, -744, -265, 178990, 502950, -240310
218827, -266, -985, -412, -39550, 552230, -96110
218847, -213, -908, -524, 50330, 427560, 102620
218867, -380, -765, -180, 356510, 346010, 146510
218887, -360, -627, 69, 446530, 424200, 38850
218907, -241, -505, 41, 272160, 389270, -75880
218927, -191, -454, -38, 126910, 165130, -95200
218947, -177, -465, -106, 129080, -98350, -60200
218967, -155, -391, -188, 149170, -240450, -87010
218987, -33, -144, -13, 107730, -211190, -232260
219007, -9, -94, 131, 51240, -73430, -378560
219027, -5, -364, -179, -70210, -44870, -282030
219047, -190, -923, -347, -199780, -184240, -16170
219067, -580, -1998, -727, -203630, -233660, 186200
219087, -449, -1866, -639, -71400, -277270, 325080
219107, -204, -1246, -340, 31850, -185710, 217210
219127, -139, -1047, -316, -58870, 73080, -10640
219147, -306, -1508, -459, 15750, -16240, 143360
219167, -590, -1983, -615, 128660, -177240, 376110
219187, -450, -1739, -446, 124110, -180600, 417480
219207, -380, -1447, -384, 128380, -123690, 219380
219227, -292, -1337, -443, 137130, -214480, 133980
219247, -347, -1268, -363, 101640, -303030, 150430
219267, -304, -1095, -318, 89460, -286790, 45080
219287, -275, -1052, -333, 89600, -315630, -60970
219307, -252, -874, -330, 64050, -357560, -133910
