T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
43544, 96, -38, 1064, -47460, 25550, -58240
43564, 146, -41, 1024, -45010, 6370, -47390
43584, 185, -27, 1001, -40740, 8050, -47040
43604, 156, -97, 952, -45710, 21630, -49630
43624, 187, -45, 995, -51310, 16170, -43120
43644, 172, -65, 973, -34300, 5600, -25900
43664, 211, 15, 1031, 5180, -25480, 420
43684, 244, 73, 1033, 1260, -14140, 8610
43704, 165, -27, 996, -16100, -12040, 17710
43724, 99, -76, 1037, -7210, -18340, 19250
43744, 48, -41, 966, -8120, -11550, 26740
43764, 68, -113, 1000, -12600, -2380, 33740
43784, 39, -95, 1045, -20510, -980, 38710
43804, 15, -155, 1070, -27020, -3150, 40670
43824, 37, -168, 1010, -23870, 6790, 29540
43844, -2, -247, 1013, -21700, 3570, 22890
43864, -63, -285, 979, -23660, 1120, 26530
43884, -34, -275, 1005, -16450, -560, 25200
43904, 56, -130, 1154, -10220, 700, 19180
43924, -55, -217, 976, -3710, 8610, 13020
43944, 153, -88, 1108, -11480, -6930, 20510
43964, -187, -214, 944, -23170, -16660, 30870
43984, -26, -177, 1037, -15120, -14420, 27930
44004, 65, -143, 1118, -28350, 5460, 19530
44024, -10, -200, 998, -34020, 18690, 16450
44044, -29, -294, 933, -41930, 3290, 27860
44064, 37, -256, 996, -38920, 7420, 26600
44084, -245, -415, 864, -35350, -1190, 20300
44104, -275, -595, 782, -39760, 10780, 7630
44124, -233, -684, 821, -38570, 52710, -12670
44144, -222, -656, 824, -41300, 69160, -32550
44164, -127, -619, 731, -36260, 51940, -43050
44184, -135, -556, 762, -28350, 56910, -52920
44204, -117, -586, 731, -14700, 9940, -51800
44224, -80, -513, 837, -2310, -11480, -55510
44244, 32, -400, 893, 3780, -4410, -55090
44264, 108, -297, 999, -1890, 29400, -60270
44284, -6, -399, 1049, -5740, 33880, -53480
44304, -71, -426, 1029, -23030, 48930, -45990
44324, -15, -437, 959, -49910, 72590, -45290
44344, 89, -387, 810, -68600, 101010, -49210
44364, 220, -385, 790, -78330, 124460, -52780
44384, -185, -549, 483, -67970, 167720, -45220
44404, -454, -979, 363, -65660, 164220, -9030
44424, -457, -854, 470, -146230, 248990, -6440
44444, -572, -780, 330, -92540, 286860, -35000
44464, -704, -780, 336, -79380, 254380, -45920
44484, -687, -668, 575, -83020, 228270, -63420
44504, -584, -659, 351, -26320, 198800, -76230
44524, -566, -598, 498, 23240, 76650, -52780
44544, -445, -486, 553, 46690, 38290, -42140
44564, -308, -410, 694, 41930, 51310, -48790
44584, -228, -347, 823, 31220, 28140, -34930
44604, -512, -567, 868, 28420, -25480, -4270
44624, -534, -608, 1009, 54950, -91840, 19250
44644, -318, -492, 1049, 63630, -118370, -3780
44664, -331, -552, 944, 35490, -127330, -18690
44684, -953, -899, 971, 31710, -171500, -14350
44704, -1096, -1298, 1118, 25270, -230020, -27650
44724, 291, -159, 271, 8750, -183820, -105770
44744, 77, -317, 750, 23310, -147420, -114660
44764, -76, -340, 1015, 55580, -162540, -69160
44784, -19, -311, 1177, 7490, -201530, -61110
44804, 23, -409, 928, -131670, -203630, -45920
44824, 125, -437, 589, -188300, -148470, -10990
44844, 42, -449, 782, -29890, -77490, -7560
44864, -10, -569, 876, 63770, -48160, -5600
44884, -17, -584, 867, 43470, -38360, 11200
44904, 35, -551, 972, 28630, -33040, 13860
44924, 60, -562, 1032, 20230, -8750, 7560
44944, -21, -651, 1085, -15820, 17290, 20300
44964, -62, -731, 1167, -21210, 9170, 19670
44984, 62, -554, 1034, 12670, 2100, 10640
45004, 24, -548, 889, 30870, 13370, 4410
45024, 18, -516, 617, 40740, -2380, 3430
45044, -43, -519, 425, 42560, -33250, -9240
45064, -82, -487, 201, 35700, -15190, -29050
45084, -101, -424, 3, -47740, 62720, -69930
45104, -38, -503, -157, -338660, 221690, -164080
45124, -4, -594, -241, -483280, 306040, -283220
45144, 39, -616, -147, -346010, 347830, -288960
45164, -29, -775, -141, -103040, 358260, -171220
45184, -177, -871, -192, 20020, 299670, 87150
45204, -346, -1084, -310, 62720, 203980, 353500
45224, -315, -1030, -134, 164010, 159530, 416640
45244, -289, -1009, -42, 259000, 248010, 177800
45264, -231, -1090, -216, 126770, 381290, -82040
45284, -175, -1289, -487, -135170, 479570, -239050
45304, -162, -1174, -189, -198450, 531300, -305060
45324, -191, -1083, 38, 80010, 495250, -205800
45344, -347, -1440, -391, 187670, 386960, 41020
45364, -484, -1729, -677, -231980, 341320, 206010
45384, -452, -1303, -482, 90370, 443240, -56700
45404, -393, -1008, -123, 440790, 497280, -268310
45424, -275, -1095, -27, 378070, 489160, -319060
45444, -179, -1252, -186, 72170, 455350, -260260
45464, -333, -1644, -399, -93940, 381710, -87290
45484, -558, -1998, -586, -68460, 296450, 39690
45504, -548, -1998, -749, 63280, 253120, -15260
45524, -378, -1693, -390, 337470, 234990, -157570
45544, -374, -1393, -103, 501900, 175280, -143710
45564, -303, -1299, -189, 254590, 168490, -148400
45584, -220, -1337, -330, -23800, 198870, -231560
45604, -186, -1523, -415, -45850, 168280, -220150
45624, -344, -1746, -403, 121870, 66150, -71260
45644, -433, -1845, -363, 272580, -21770, 46620
45664, -381, -1718, -343, 246680, -16310, -43050
45684, -248, -1328, -192, 164780, 9030, -170450
45704, -218, -1200, -233, 72520, 1890, -206640
45724, -209, -1098, -255, -2380, -43750, -164780
45744, -162, -959, -228, 30520, -91560, -149030
45764, -155, -884, -167, 126280, -141260, -137200
45784, -174, -860, -82, 199360, -196840, -93870
45804, -183, -875, -79, 158970, -225470, -75600
45824, -181, -899, -162, 2310, -232120, -86660
45844, -162, -895, -205, -136220, -231840, -105560
45864, -142, -853, -196, -158550, -229460, -124950
45884, -129, -783, -168, -95830, -236180, -123970
45904, -108, -673, -119, -20510, -245420, -111090
45924, -94, -607, -85, 34300, -251160, -101640
45944, -91, -567, -48, 54180, -257320, -85470
45964, -92, -544, -30, 39690, -266770, -59010
45984, -90, -558, -45, -13230, -278740, -29540
46004, -117, -665, -102, -89040, -296590, 8610
46024, -181, -877, -183, -149730, -324170, 65730
46044, -261, -1183, -297, -165900, -358540, 123760
46064, -333, -1447, -387, -131530, -389340, 142100
46084, -320, -1412, -334, -44100, -404810, 90650
46104, -224, -1194, -251, 52920, -399000, -30660
46124, -190, -1061, -263, 68670, -402780, -126700
46144, -246, -1115, -311, 37100, -457170, -93520
46164, -350, -1304, -344, 43120, -540610, 9240
46184, -464, -1569, -394, 97090, -609070, 66780
46204, -507, -1841, -545, 113610, -629930, 13790
46224, -434, -1778, -514, 22750, -553000, -303660
46244, -379, -1601, -506, 30730, -566510, -330470
46264, -393, -1443, -449, 49910, -612710, -267400
46284, -396, -1362, -387, 73640, -617610, -270620
46304, -359, -1373, -330, 20930, -574140, -333200
46324, -315, -1574, -366, -100730, -513030, -363020
46344, -404, -1933, -523, -228690, -471380, -296590
46364, -448, -1998, -574, -248430, -429730, -230790
46384, -365, -1853, -486, -179830, -357210, -251230
46404, -241, -1506, -304, -100030, -270550, -293300
46424, -174, -1297, -228, -95900, -197470, -269780
46444, -154, -1196, -255, -175350, -146860, -179970
46464, -154, -1181, -279, -227850, -93590, -107590
46484, -175, -1196, -269, -198870, -41160, -67620
46504, -183, -1190, -246, -133210, 9730, -57190
46524, -182, -1180, -248, -92610, 66290, -77210
46544, -150, -1110, -222, -75040, 120260, -102060
46564, -122, -1022, -194, -64330, 164850, -107450
46584, -122, -953, -189, -69160, 190610, -71400
46604, -130, -892, -192, -79450, 205100, -20580
46624, -122, -818, -187, -69580, 224700, 1470
46644, -110, -722, -158, -32830, 248080, -3150
46664, -99, -641, -125, 20370, 267120, -10360
46684, -92, -588, -95, 63070, 283500, -11760
46704, -89, -562, -87, 73080, 297640, -6510
46724, -82, -553, -88, 56070, 311570, 770
46744, -78, -552, -92, 34020, 326410, 8120
46764, -76, -560, -95, 16870, 341600, 20440
46784, -82, -588, -98, 1400, 355180, 41370
46804, -95, -631, -111, -13440, 363300, 71610
46824, -114, -699, -137, -29470, 365610, 105700
46844, -127, -769, -152, -43470, 365540, 133840
46864, -146, -876, -174, -45220, 366940, 149450
46884, -185, -1024, -209, -45290, 367360, 162820
46904, -227, -1179, -258, -53970, 365120, 176190
46924, -253, -1262, -283, -64680, 369390, 167860
46944, -238, -1229, -236, -62020, 387590, 125720
46964, -225, -1208, -213, -52570, 413840, 70350
46984, -235, -1271, -262, -79170, 432600, 44170
47004, -268, -1371, -309, -132930, 437990, 54810
