T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
85382, 4, -378, -920, -46270, -33600, -6860
85402, -46, -415, -997, -66080, -25690, -21490
85422, 25, -304, -1002, -63350, -15330, -52990
85442, 7, -258, -920, -54530, -6650, -60200
85462, -49, -223, -962, -31640, -21140, -53060
85482, -35, -231, -1014, -14560, -44730, -32970
85502, -17, -218, -918, -14280, -24500, -17150
85522, -59, -247, -933, -9310, -31220, -3710
85542, -31, -226, -990, -19600, -26950, -3080
85562, -89, -173, -959, -36120, 11200, -2450
85582, -17, -234, -961, -5670, 210, -13020
85602, -102, -180, -915, -5040, -4760, -24360
85622, -38, -227, -949, -2240, 6370, -31710
85642, 56, -403, -1082, 5110, 25130, -24080
85662, 40, -285, -1077, 17080, 64120, 15610
85682, 25, -325, -970, 35910, 95830, 9240
85702, 58, -269, -964, 59290, 108570, -43750
85722, 118, -226, -900, 43960, 78050, -102970
85742, 177, -145, -857, 28770, 42000, -122430
85762, 156, -347, -890, 58450, 25620, -89880
85782, 191, -249, -862, 57190, 28140, -23870
85802, 193, -310, -913, 31640, 38010, -20090
85822, 197, -307, -931, 8050, 20930, -2240
85842, 196, -304, -918, -11130, 10430, 560
85862, 218, -297, -927, -13510, 11690, 1400
85882, 224, -306, -901, -14560, 28700, 5600
85902, 208, -282, -1208, 9660, 25200, 5460
85922, 223, -282, -991, -12950, -12180, 770
85942, 208, -315, -859, -25340, -21630, 2800
85962, 227, -318, -733, 23100, 11620, 1330
85982, 223, -326, -958, 48090, 27090, -2450
86002, 231, -343, -844, 22120, 6650, 490
86022, 311, -140, -790, -2660, -29050, 140
86042, 223, -272, -986, -21560, -63070, 34580
86062, 202, -285, -976, -14700, -46200, 71540
86082, 257, -226, -943, -1680, -27510, 72800
86102, 272, -280, -889, 15050, -25900, 40460
86122, 84, -540, -1069, -280, -27510, 15680
86142, 72, -475, -1202, -10990, -88130, 560
86162, 48, -385, -1134, 22120, -106260, -3780
86182, 22, -349, -1062, 59080, -126490, -8750
86202, -17, -394, -966, 93730, -149310, -16800
86222, -76, -512, -908, 137060, -174020, -23310
86242, -176, -625, -876, 186340, -198590, -25200
86262, -196, -708, -889, 215530, -213990, -17710
86282, -191, -736, -798, 248570, -232890, 2240
86302, -199, -748, -674, 255850, -227780, 5250
86322, -351, -782, -564, 227430, -190540, -12740
86342, -344, -900, -555, 212940, -172690, -15960
86362, -396, -950, -424, 217980, -188720, -9660
86382, -468, -942, -356, 191940, -171850, 13930
86402, -399, -905, -310, 168070, -157290, 50680
86422, -412, -705, -226, 182980, -173040, 79800
86442, -306, -488, 9, 202930, -170660, 97790
86462, -323, -337, -21, 197680, -161840, 111090
86482, -559, -584, 311, 166390, -128170, 134120
86502, -631, -692, 260, 113470, -89460, 156590
86522, -718, -822, 149, 41020, -96110, 135940
86542, -756, -791, 158, 14280, -117040, 99960
86562, -821, -836, 264, 59780, -145040, 88480
86582, -822, -827, 261, 77140, -163450, 95550
86602, -756, -651, 417, 86030, -184940, 98280
86622, -692, -475, 547, 110810, -201040, 96880
86642, -515, -565, 636, 67480, -202090, 93590
86662, -540, -592, 685, 490, -239960, 86590
86682, -539, -497, 603, -2380, -227920, 59360
86702, -550, -525, 601, -4760, -165550, 36680
86722, -643, -478, 669, 7980, -103040, 41300
86742, -520, -546, 671, 34370, -56560, 38990
86762, -675, -494, 634, 55580, -41720, 34020
86782, -653, -506, 695, 90020, -30240, 24850
86802, -638, -484, 773, 90930, -95130, 24780
86822, -617, -419, 778, 127400, -88830, 20440
86842, -600, -369, 807, 149520, -61460, 16170
86862, -568, -306, 816, 139720, -51170, 11690
86882, -461, -267, 645, 130130, -80570, 15750
86902, -437, -148, 871, 173950, -85260, 20090
86922, -438, -57, 1004, 176260, -43190, 29750
86942, -391, -68, 884, 106750, -66850, 41020
86962, -357, 55, 881, 89530, -68390, 33250
86982, -341, 96, 936, 88760, -44450, 30870
87002, -320, 161, 880, 51240, -46270, 31710
87022, -300, 99, 945, 41230, -44170, 17290
87042, -306, 133, 961, 47110, -15330, 13860
87062, -311, 30, 849, 18690, -10500, 12390
87082, -406, 91, 909, 18410, 3640, -8540
87102, -387, 79, 886, 19740, 23310, -21070
87122, -401, 47, 936, -350, -13930, -14630
87142, -498, -109, 964, 19740, -47880, -18130
87162, -418, 54, 1044, 75670, -42420, -20790
87182, -382, 351, 1046, 105280, -59220, -10920
87202, -258, 176, 902, 51590, -79660, -12530
87222, -292, 109, 905, -26320, -71750, -8330
87242, -306, 25, 905, -48300, -35980, -7770
87262, -332, -15, 898, -64050, -29680, -2030
87282, -255, 9, 942, -67410, -40950, -560
87302, -219, 19, 979, -58240, -47250, 5460
87322, -246, 3, 981, -52360, -52710, 2310
87342, -239, -7, 973, -44170, -54180, -1890
87362, -223, -53, 1006, -39690, -54530, 3850
87382, -225, -118, 1053, -41580, -45710, 17430
87402, -162, -59, 1064, -32340, -34090, 30730
87422, -129, -1, 1032, -10220, -33880, 36470
87442, -157, -44, 1015, 210, -36750, 35490
87462, -155, -72, 1001, -2100, -31780, 33600
87482, -152, -6, 993, -2240, -26880, 36540
87502, -106, -1, 1009, 8960, -33880, 38920
87522, -101, 39, 1040, 13650, -26250, 30590
87542, -47, 104, 1036, 18620, -11830, 10640
87562, -111, -22, 1119, 10430, -9170, 280
87582, -73, -115, 1117, -980, -8680, -5600
87602, -121, -54, 1140, 2240, -2870, -1260
87622, -156, -7, 1120, 10500, 1190, -3010
87642, -80, 2, 1055, 14700, -2590, -3780
87662, -136, 51, 1016, 8260, -1470, -3640
87682, -169, -14, 1011, -2870, 17990, -12880
87702, -219, -83, 1012, -17150, 31290, -17640
87722, -210, -3, 1012, -10360, 28560, -9450
87742, -210, -23, 977, -5950, 15750, -8050
87762, -232, 0, 947, -13300, 15260, -7770
87782, -202, 23, 963, -17570, 18760, -6090
87802, -226, 29, 959, -23030, 20860, -5460
87822, -234, 43, 966, -20930, 22820, -9590
87842, -224, 40, 921, -12810, 23310, -14350
87862, -233, 59, 858, -8050, 18830, -17780
87882, -219, 89, 796, -9450, 23380, -20020
87902, -243, 81, 798, -16730, 31570, -20300
87922, -217, 53, 785, -23380, 32410, -23660
87942, -161, 41, 741, -16380, 24780, -36680
87962, -274, 149, 991, 15400, 41440, -58100
87982, -298, -108, 723, 84910, 37940, -68040
88002, -409, 180, 596, 129850, 7630, -67200
88022, -350, 309, 623, 138880, 19810, -29190
88042, -273, 330, 617, 115990, 50680, 65520
88062, -252, 391, 519, 83860, 131180, 130830
88082, -67, 562, 91, 32060, 270130, 122850
88102, -226, 447, -58, -47460, 459690, 85050
88122, -391, 601, -371, -50400, 795480, 131040
88142, -395, 1285, -892, -21070, 1080870, 211400
88162, -960, 1997, -988, -170590, 1125950, 181370
88182, -981, 1422, -701, -56770, 1500730, 676340
88202, -429, 600, -388, -533610, 1594460, 930020
88222, -601, 1990, -660, -759360, 1171800, 117670
88242, -326, 1997, -466, -67760, 810530, -855190
88262, -121, 1997, -927, -3710, 778820, -831950
88282, -221, 876, -810, -1054830, 824390, -379190
88302, -671, 1526, -811, -1112440, 882070, -411320
88322, -744, 1620, -264, 163100, 1080730, -559230
88342, -480, 1130, 46, 841890, 1098300, -535710
88362, -263, 909, -142, 428400, 797790, -670320
88382, -139, 1006, -430, -144970, 493920, -906570
88402, -200, 784, -407, -270900, 479640, -878850
88422, -302, 563, -283, -91840, 712180, -486010
88442, -353, 564, -230, 12810, 938000, -29330
88462, -325, 585, -193, -89180, 1001210, 197190
88482, -279, 595, -214, -278460, 926730, 185570
88502, -390, 1020, -323, -326410, 736400, -116130
88522, -356, 1544, -315, -17080, 546840, -557550
88542, -229, 1663, -224, 331940, 447720, -758730
88562, -171, 1470, -368, 252770, 409080, -346570
88582, -199, 1262, -546, -390320, 385420, -239890
88602, -399, 1833, -625, 121450, 419580, -343630
88622, -433, 1997, -369, 732900, 402430, -480270
88642, -238, 1997, -354, 532420, 246260, -507640
88662, -114, 1645, -571, -78750, 128170, -411670
88682, -197, 1542, -612, -9870, 215810, -244790
88702, -324, 1856, -412, 583310, 365470, -129850
88722, -326, 1891, -181, 799190, 344050, -138950
88742, -183, 1583, -325, 382690, 133700, -258720
88762, -116, 1268, -485, -3500, -5810, -292040
88782, -124, 1032, -325, 151690, 65450, -150080
88802, -153, 776, -124, 492800, 182910, 9450
88822, -145, 500, 10, 576800, 182350, 56840
88842, -125, 308, 52, 427350, 71960, 6230
88862, -108, 228, 41, 223580, -68320, -68740
88882, -97, 181, 20, 59570, -187740, -122220
88902, -97, 283, -34, -58380, -275450, -142520
88922, -95, 580, -158, -142520, -332640, -127750
88942, -99, 830, -286, -208740, -341880, -32970
88962, -188, 991, -291, -213500, -260050, 210420
88982, -310, 1176, -200, -127750, -124880, 515550
89002, -392, 1324, -138, -70350, -75810, 665280
89022, -363, 1668, -408, -185850, -235970, 506030
89042, -188, 1825, -730, -421330, -516390, 193270
89062, -163, 1987, -663, -427910, -601790, 156240
89082, -372, 1997, -333, -3220, -382970, 495740
89102, -517, 1997, -305, 285320, -161910, 823550
89122, -353, 1893, -622, -23170, -261660, 787710
89142, -145, 1913, -741, -306320, -531860, 529550
89162, -157, 1997, -502, 103110, -591710, 399700
89182, -308, 1997, -259, 665980, -454650, 458850
89202, -345, 1427, -300, 561820, -396200, 562660
89222, -273, 898, -349, 130760, -493710, 554890
89242, -266, 825, -375, 86800, -637630, 372750
89262, -242, 825, -350, 361690, -751100, 94780
89282, -234, 721, -306, 526610, -832090, -112980
89302, -193, 508, -246, 466270, -872620, -149310
89322, -174, 334, -185, 328790, -861420, -40810
89342, -167, 374, -185, 247520, -822500, 107100
89362, -182, 574, -205, 232330, -783790, 227080
89382, -216, 731, -190, 247240, -739340, 338450
89402, -266, 804, -175, 258230, -683130, 468160
89422, -302, 812, -194, 231350, -647990, 591010
89442, -312, 827, -278, 235760, -721700, 466900
89462, -317, 966, -424, 301560, -828030, 238140
89482, -313, 1258, -577, 430710, -909300, 2520
89502, -304, 1654, -645, 571550, -926310, -137200
89522, -336, 1997, -587, 608440, -892430, -138250
89542, -454, 1997, -572, 418250, -877170, -70770
89562, -533, 1997, -718, 67060, -945910, -78680
89582, -506, 1997, -870, -167230, -1063510, -209300
89602, -380, 1997, -834, -173180, -1106770, -297640
89622, -339, 1997, -645, -138740, -1013390, -152250
89642, -403, 1578, -468, -213920, -881300, 137760
89662, -425, 1159, -398, -337330, -836150, 335370
89682, -392, 851, -375, -391930, -878220, 379820
89702, -334, 649, -354, -335580, -928830, 365120
89722, -262, 516, -321, -186130, -937440, 360850
89742, -201, 388, -252, 17920, -901180, 370230
89762, -179, 286, -187, 211400, -847700, 368620
89782, -176, 202, -140, 326480, -811020, 339780
89802, -191, 187, -119, 347340, -804300, 291130
89822, -236, 332, -122, 298340, -821030, 241570
89842, -304, 600, -174, 183680, -852250, 213920
89862, -380, 797, -295, -27580, -891450, 248570
89882, -446, 1027, -431, -264880, -910350, 383460
89902, -454, 1114, -437, -372750, -883260, 596750
89922, -440, 1320, -376, -250880, -820540, 782950
89942, -448, 1785, -484, -4340, -800380, 773850
89962, -362, 1997, -704, 73150, -861910, 630840
89982, -276, 1997, -646, 55650, -863380, 648130
90002, -339, 1997, -503, 332080, -714420, 802130
90022, -373, 1997, -673, 640080, -631050, 709100
90042, -240, 1997, -845, 473340, -756000, 387100
90062, -238, 1997, -685, 320950, -822500, 230510
90082, -329, 1997, -508, 634480, -743820, 178990
90102, -313, 1713, -504, 746060, -747460, 17710
90122, -266, 1247, -487, 385700, -830550, -106260
90142, -262, 953, -396, 112910, -845950, -106330
90162, -275, 823, -311, 164220, -812420, -125790
90182, -235, 671, -251, 250040, -805700, -215880
90202, -178, 476, -214, 179550, -815640, -273980
90222, -133, 299, -174, 34790, -796740, -238420
90242, -96, 173, -144, -60340, -740740, -145320
90262, -62, 104, -126, -74690, -666540, -52220
90282, -26, 82, -131, 53900, -498330, 59920
90302, 3, 141, -182, 176610, -395080, 89250
