T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
102862, -168, -71, 958, 24010, -53830, -16730
102882, -176, -86, 973, 14840, -40530, -11060
102902, -177, -112, 1025, -70, -27860, -5670
102922, -179, -117, 1042, -14210, -25270, -3290
102942, -168, -109, 1039, -14420, -31080, -2170
102962, -131, -82, 990, -4690, -27650, -1120
102982, -106, -86, 978, 910, -32620, 980
103002, -90, -94, 1029, -3500, -40600, 1820
103022, -73, -112, 1078, -12950, -44310, -1470
103042, -26, -117, 1061, -15260, -42140, -4060
103062, -27, -118, 1021, -8260, -58100, -7630
103082, -35, -135, 1042, -11760, -71680, -13160
103102, 13, -138, 1061, -14910, -66010, -13860
103122, 20, -141, 1103, -12880, -48860, -13440
103142, 58, -148, 1098, -3920, -46690, -16170
103162, 26, -147, 1023, 13580, -64400, -22190
103182, 43, -122, 1051, 22540, -54600, -22470
103202, 26, -121, 1064, 30170, -26600, -16310
103222, 12, -104, 1068, 33390, -13160, -12530
103242, 25, -105, 1068, 31290, -20510, -13930
103262, 75, -99, 1060, 24360, -41930, -13160
103282, 173, -76, 1036, 17500, -61460, -8890
103302, 178, -66, 1050, 16660, -57120, -4060
103322, 196, -72, 1095, 17360, -42140, 1820
103342, 208, -67, 1117, 18900, -34440, 770
103362, 174, -59, 1106, 23520, -37380, -4620
103382, 195, -31, 1041, 25340, -50470, -10640
103402, 199, -29, 825, 29960, -63630, -16520
103422, 295, 115, 954, 58100, -71820, -20090
103442, 336, 168, 949, 146930, -89460, -30450
103462, 329, 208, 1004, 171010, -88130, -40810
103482, 300, 211, 893, 110460, -57330, -29960
103502, 295, 233, 867, 10360, -18760, -12880
103522, 245, 214, 859, -8960, -11200, -5320
103542, 254, 190, 857, -16940, -5040, 2800
103562, 266, 170, 867, -24010, 7420, 8610
103582, 243, 145, 892, -25550, 22050, 9590
103602, 205, 136, 895, -25620, 37100, 11620
103622, 203, 139, 883, -19600, 46270, 12600
103642, 188, 166, 860, -7700, 41790, 8890
103662, 169, 187, 844, 8470, 31430, 3500
103682, 150, 190, 854, 21490, 20440, -1260
103702, 171, 185, 826, 28140, 5740, -3080
103722, 189, 206, 798, 23660, -9520, -9100
103742, 98, 205, 520, 32970, -30380, -18130
103762, -428, 896, 545, 88480, -87500, -37100
103782, 498, 753, -350, 271460, -262150, -105210
103802, -62, 249, -67, 189490, -583940, -276430
103822, -35, 318, -161, -38430, -463960, -273350
103842, -36, 667, -386, -69300, -276500, -205030
103862, -143, 1194, -455, 67340, -186200, -162260
103882, -331, 1755, -258, 482790, -18060, -101570
103902, -342, 1997, -258, 632310, -66220, -288540
103922, -148, 1997, -729, -45780, -309820, -512960
103942, -136, 1997, -938, -74830, -256200, -468650
103962, -329, 1997, -544, 647080, -5250, -278250
103982, -378, 1997, -279, 754110, -1120, -279440
104002, -202, 1997, -711, 34440, -241150, -490350
104022, -164, 1997, -946, -106050, -264670, -551740
104042, -312, 1997, -530, 561400, -60970, -416290
104062, -292, 1997, -310, 653660, -25480, -335860
