T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
230136, -131, 964, 272, 4340, 2730, -12040
230156, -151, 978, 290, 11900, -7560, -12320
230176, -154, 966, 302, 4200, -5040, -4270
230196, -163, 946, 294, 3150, -12530, -1190
230216, -61, 931, 177, 14350, -40460, -37450
230236, -22, 840, 67, 46060, -47880, -104650
230256, -273, 1012, 300, 90650, 143080, -71610
230276, -441, 1071, 263, 108500, 252840, -33250
230296, -450, 1016, 210, 76860, 206640, -54670
230316, -465, 951, 135, 51730, 120470, -86800
230336, -405, 1072, 19, 62090, 91700, -92330
230356, -517, 975, 152, 55510, 108990, -84000
230376, -400, 916, -82, 17080, 84980, -36680
230396, -395, 860, -48, 10430, 53130, -23310
230416, -494, 983, 26, 13510, 70210, -29610
230436, -340, 862, -97, 420, 68530, -21910
230456, -410, 907, -96, -18760, 67900, -7980
230476, -491, 951, -50, -22960, 104650, -8400
230496, -549, 936, 37, -31850, 135940, -18830
230516, -359, 901, -140, -16940, 122780, -8400
230536, -474, 932, -83, 21700, 62230, -11480
230556, -550, 1151, -141, 66500, 72450, -27650
230576, -733, 839, -366, 73360, 104720, -55090
230596, -610, 929, -248, -54250, 98420, -44240
230616, -552, 1334, 417, -97720, -69020, 31920
230636, -667, 977, 2, 12670, 16870, 21490
230656, -443, 996, 119, -56490, 200690, -38290
230676, -585, 975, 43, -29120, 115710, -31920
230696, -441, 1163, 149, 350, 41720, -32270
230716, -599, 1057, -41, 40810, -44520, -83370
230736, -571, 1021, -271, 98000, -136990, -179900
230756, -771, 919, -393, 162470, -186200, -366310
230776, -431, 940, 157, 197470, -46900, -545510
230796, -716, 737, -233, 223440, -9380, -563360
230816, -791, 678, -140, 92260, -71260, -236320
230836, -901, 547, -84, 64540, -21560, -37590
230856, -575, 325, -130, 101710, -40600, -181160
230876, -891, 221, -119, 77350, -37170, -269500
230896, -704, 208, -69, 49840, -15260, -144970
230916, -805, 158, -67, 22190, -4690, -155190
230936, -786, 88, -85, -5530, -2590, -142170
