T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
264133, -737, -921, -523, 264670, -423360, -296170
264153, -235, -508, -319, 16940, -505820, -239400
264173, -660, -632, 139, 140350, -83370, -19740
264193, -671, -921, 200, 178080, 106890, 141540
264213, -282, -1043, 31, 47460, -114380, 129150
264233, -406, -1020, 313, 10780, -120190, 78960
264253, -415, -814, 264, 23170, -60270, -5460
264273, -459, -778, 288, 15050, -93240, -82880
264293, -461, -811, 323, 14700, -73150, -87080
264313, -444, -820, 507, -560, -73990, -75950
264333, -366, -685, 385, -1610, -73920, -76020
264353, -473, -686, 485, 9730, -85470, -75180
264373, -433, -764, 393, 30940, -71680, -28070
264393, -390, -855, 415, 34720, -101710, 17360
264413, -329, -925, 431, 33460, -112000, 38990
264433, -341, -865, 491, 39480, -111020, 41790
264453, -267, -815, 310, 86240, -114170, 46900
264473, -234, -805, 219, 128940, -140910, 52150
264493, -179, -823, 218, 120400, -124740, 51660
264513, -254, -790, 360, 71260, -79240, 28280
264533, 22, -902, 294, 43680, -30450, 10220
264553, -321, -767, 460, 42140, -83090, -28210
264573, -280, -800, 302, 71610, -48090, -56700
264593, -636, -651, 627, 54950, -37800, -49910
264613, -449, -961, 769, -4620, -176470, -30940
264633, -219, -800, 581, 33740, -307580, 118650
264653, 455, -978, 406, 120330, -328790, 173390
264673, -223, -700, 772, 138600, -218750, -11760
264693, -152, -481, 750, 152880, -33390, -217840
264713, 213, -613, 767, 213150, -28490, -159600
264733, 267, -557, 785, 155610, -180040, -89950
264753, 362, -626, 859, 147210, -192640, -38220
264773, 436, -282, 768, 192500, -212590, -19460
264793, 603, -775, 1189, 207060, -241290, -7700
264813, 302, -306, 747, 85050, -89740, -16870
264833, 305, -276, 974, 4130, 15330, 700
264853, 341, -259, 768, 125790, -19110, -13790
264873, 362, -268, 794, 110950, -75670, 2590
264893, 316, -298, 949, 107030, -70420, 17430
264913, 289, -241, 909, 98840, -52150, 17500
264933, 254, -237, 894, 82810, -18830, 10290
264953, 233, -203, 996, 67060, 23520, 4970
264973, 377, -103, 1089, 70980, 6160, 1260
264993, 343, -100, 991, 68460, -5110, 6650
265013, 283, -116, 1014, 60130, -8890, 18410
265033, 307, -96, 1014, 45150, -17920, 17570
265053, 355, -42, 1069, 28070, -14070, 10150
265073, 388, -41, 1041, 7560, -980, 7000
265093, 429, -61, 992, -7210, -14560, 10920
265113, 1360, -744, -1997, -15750, -28630, 17010
265133, 92, -183, 1024, 127260, 97930, 7490
265153, 449, -6, 1304, 31570, -4410, 16450
265173, 425, -328, 914, -73220, -20090, 10080
265193, 298, -84, 1243, -101080, 10430, 37520
265213, 375, -115, 1176, -23170, 49700, 15750
265233, 278, -115, 1184, -11620, 27650, 14280
