T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
346519, 90, 163, 1098, 87640, -39480, 6930
346539, 53, 187, 1030, 108920, -32410, 9660
346559, 59, 184, 995, 83230, -42980, 16100
346579, 176, 239, 989, 47670, -55510, 21280
346599, 98, 202, 1048, 34300, -50820, 25690
346619, 118, 222, 996, 34440, -2730, 19530
346639, 75, 237, 924, 55580, -4550, 12530
346659, 55, 256, 903, 71120, -25480, 12880
346679, 57, 276, 908, 74900, -12180, 8050
346699, 92, 306, 872, 73710, -3990, 7770
346719, 77, 328, 923, 64330, -490, 9450
346739, 113, 340, 856, 56840, 9940, 6720
346759, 111, 371, 879, 42770, 1400, 5530
346779, 86, 389, 939, 46760, -2380, 3360
346799, 88, 400, 912, 52220, -10010, 5390
346819, 142, 414, 887, 31710, -56700, 17850
346839, 157, 413, 878, 38500, -56910, 12810
346859, 189, 428, 861, 43960, -62510, 11900
346879, 205, 445, 882, 47110, -47530, 3360
346899, 205, 463, 930, 46900, -18410, -8820
346919, 218, 481, 920, 50680, -4480, -12600
346939, 200, 494, 926, 64890, -3360, -11200
346959, 242, 526, 834, 81060, -8120, -11970
346979, 177, 554, 836, 75600, -9310, -15190
346999, 175, 562, 828, 57820, 10780, -28980
347019, 160, 577, 858, 67270, 7560, -30240
347039, 174, 635, 923, 69720, 7560, -28210
347059, 174, 598, 857, 31920, 4270, -17360
347079, 155, 587, 791, 12460, -6440, -7070
347099, 113, 573, 786, 6860, -8260, -3780
347119, 120, 578, 786, 3920, -6860, -5810
347139, 170, 591, 784, 0, -2800, -9100
347159, 151, 597, 793, -4830, 3360, -8540
347179, 138, 589, 772, -8050, 2310, -2590
347199, 153, 577, 744, -3850, -6020, 1610
347219, 202, 609, 758, -2170, -6790, 1050
347239, 142, 619, 816, 2730, 4830, -6930
347259, 146, 632, 720, 18200, 18970, -22960
347279, 216, 640, 526, 69580, 12740, -25970
347299, 176, 842, 533, 246610, -12390, -7560
347319, 134, 1072, 601, 433090, -40180, 21140
347339, 79, 953, 196, 483980, -44030, 2450
347359, 208, 1207, 444, 429030, -41090, -42910
347379, 160, 1247, 557, 386820, -12600, -79730
347399, 107, 944, 32, 190820, 13090, -50190
347419, 122, 1004, 181, 2730, 10640, -25200
347439, 99, 994, 136, 26250, 12740, -29750
347459, 110, 1014, 159, 27440, 4340, -36890
347479, 106, 1035, 182, 31780, -3360, -49770
347499, 141, 1091, 219, 34510, -11480, -40180
347519, 138, 1095, 195, 41930, -6580, -28420
347539, 28, 992, 248, 44100, 10080, -6510
347559, 18, 1066, 168, 51100, 13720, 48650
347579, 79, 1048, 133, 36960, 18760, 59290
347599, 47, 965, 89, 3640, 31010, 34090
347619, -23, 995, 162, -46900, 21210, 30940
347639, 4, 1028, 180, -97090, 9730, 11270
347659, 96, 967, 77, -173880, 13930, -11130
347679, -25, 855, 258, -343490, 154490, -31080
347699, -146, 814, 466, -288890, 171220, -27930
347719, 143, 766, 598, -198380, 64190, 490
347739, 52, 846, 514, -165690, -280, 54670
347759, -7, 715, 510, -182140, 25760, 69720
347779, 66, 662, 537, -193410, 40250, 32970
347799, 72, 616, 592, -167300, 43330, 15540
347819, 48, 655, 724, -102760, 36050, 30800
347839, 26, 672, 782, -66780, 38570, 40110
347859, 52, 696, 820, -74690, 47880, 29750
347879, 46, 654, 802, -113890, 45430, 23870
347899, 24, 573, 793, -144200, 32690, 19390
347919, -35, 496, 784, -144480, 21700, 14770
347939, 0, 497, 763, -102340, 13160, 12390
347959, 1, 494, 783, -59290, 18060, 5110
347979, -49, 482, 823, -32480, 29540, 630
347999, -43, 488, 874, -12180, 18550, 5040
348019, -40, 476, 781, -4130, 3150, -3710
348039, -55, 466, 772, -2240, -18340, -6440
348059, -54, 465, 755, 3920, -24080, -7000
348079, -84, 446, 709, 8470, -22750, -12460
348099, -22, 418, 205, 29260, -24710, -22750
348119, -371, 389, 183, 101360, 26250, -33320
348139, -124, 222, 40, 159880, 243320, -54460
348159, -175, 861, -304, 112840, 144550, -92400
348179, -131, 1844, -917, 108640, -21630, -249550
348199, -234, 1997, -656, 621110, 79030, -307650
348219, -373, 1906, -194, 1171450, 390320, 85330
348239, -183, 1849, -679, 758170, 454790, 346010
348259, -163, 1997, -930, 373660, 248850, 69020
348279, -416, 1997, -305, 840070, 313670, 5180
348299, -279, 1260, -250, 873670, 550620, 417200
348319, -137, 980, -351, 240590, 483630, 461230
348339, -144, 928, -193, 195580, 338170, 162190
348359, -168, 669, -10, 467880, 367290, 86380
348379, -154, 352, 55, 416290, 405020, 192220
348399, -132, 180, 60, 111090, 347690, 241360
348419, -148, 156, 70, -170520, 222460, 164010
348439, -299, 528, -5, -328090, 70280, -18480
348459, -417, 1684, -396, -382130, -120890, -355600
348479, -71, 1997, -801, -348110, -328370, -855190
348499, -264, 1997, -412, -232960, -328230, -1055950
348519, -396, 1499, -221, -182630, 41230, -426230
348539, -428, 1997, -504, -413840, -136430, -740040
348559, -104, 1997, -608, -176470, -226100, -1131200
348579, 1997, -126, 199, -116690, 200760, -450100
348599, -523, 947, -52, 60620, -49910, 695380
348619, -453, 984, -373, -73920, -710990, 772520
348639, -164, 1207, -752, -30030, -904470, 445480
348659, -75, 1563, -561, 555660, -823970, 277550
348679, -217, 1540, -213, 946470, -627830, 318220
348699, -288, 883, -158, 624260, -577570, 387520
348719, -289, 634, -258, 187950, -676620, 282310
348739, -275, 737, -348, 110810, -786870, 22400
348759, -186, 1138, -410, 189490, -832370, -214060
348779, -106, 901, -293, 169260, -766220, -196280
348799, -132, 707, -196, 56840, -593670, 105490
348819, -232, 1120, -267, -30870, -435610, 400540
348839, -330, 1300, -319, -113820, -322280, 621880
348859, -265, 1180, -305, -159880, -258440, 734510
348879, -160, 1242, -332, -44450, -282660, 575680
348899, -116, 1489, -394, 121870, -309890, 345520
348919, -172, 1322, -310, 181510, -223370, 371140
348939, -218, 1084, -207, 177520, -68740, 551110
348959, -165, 779, -146, 172900, -4970, 534450
348979, -118, 782, -181, 178220, -65940, 269640
348999, -86, 899, -235, 168980, -131460, 18900
