T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
416333, -116, -354, 1056, -19320, 6930, 24080
416353, -113, -337, 996, 7560, 1680, 14770
416373, -88, -337, 948, 20580, -9030, -350
416393, -67, -361, 953, 7910, -5880, -7140
416413, -74, -321, 990, 10640, 9520, -5040
416433, -90, -293, 969, 10010, 28350, 2940
416453, -165, -294, 1129, -9310, 47600, -4480
416473, -137, -353, 1051, -16870, 34020, -6160
416493, -96, -235, 965, 4760, 1470, -4550
416513, -97, -302, 990, 8260, -5110, 7700
416533, -77, -325, 960, 5810, -14210, 17920
416553, -77, -359, 1032, -3430, -16310, 13510
416573, -363, -523, 1214, -26460, 1400, -8400
416593, 96, -560, 909, -27860, -13090, -4410
416613, -81, -389, 1013, 17360, -21140, -35490
416633, -155, -226, 1037, 49490, -25480, -23800
416653, -164, -192, 1037, 77210, -4550, -22610
416673, -80, -167, 849, 89670, 2380, -29890
416693, -156, -228, 1053, 51380, 20370, -36050
416713, -140, -203, 1047, 23730, 49070, -36470
416733, -132, -261, 1007, 18480, 27510, -24430
416753, -91, -340, 953, -6790, -7770, -11410
416773, -49, -170, 965, -24430, -16660, -9940
416793, -94, -264, 1045, -11970, 700, -25130
416813, -52, -200, 949, 8470, 17360, -29960
416833, -97, -105, 1043, 22960, 23730, -27090
416853, -1333, -844, 414, 48650, 44170, -29680
