T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
255266, -106, 990, -296, -18410, -488390, -78820
255286, -59, 1278, -367, 78750, -498820, -172900
255306, -99, 1450, -391, 53480, -438550, -101430
255326, -184, 1329, -313, -23730, -305480, 131600
255346, -195, 1054, -216, -87010, -168490, 377300
255366, -154, 863, -209, -96950, -163100, 369390
255386, -104, 779, -234, -69650, -287280, -121240
255406, -46, 641, -228, -41440, -377790, -159250
255426, -26, 435, -160, 5950, -286440, -58310
255446, -26, 231, -77, 74130, -178290, 66640
255466, -31, 142, -35, 121590, -103180, 135380
255486, -37, 155, -28, 140000, -63000, 149660
255506, -54, 237, -35, 138320, -40740, 141680
255526, -62, 258, -34, 118300, -29680, 124670
255546, -65, 251, -35, 81830, -29680, 97580
255566, -54, 185, -28, 41860, -37590, 58940
255586, -44, 124, -21, 16590, -45920, 12180
255606, -39, 111, -23, 7700, -47950, -32340
255626, -47, 199, -44, 8960, -43260, -70560
255646, -55, 375, -99, 12110, -32200, -98700
255666, -55, 520, -143, 16940, -8260, -103530
255686, -61, 555, -151, 28420, 37940, -67200
255706, -77, 529, -133, 42490, 96600, -6720
255726, -93, 530, -123, 47950, 141820, 32480
255746, -101, 542, -123, 43960, 159110, 23940
255766, -96, 508, -119, 38710, 151200, -29190
255786, -91, 537, -130, 42140, 132160, -103950
255806, -93, 753, -187, 51380, 121240, -162540
255826, -96, 1020, -257, 49350, 131180, -173950
255846, -111, 1085, -284, 19530, 170590, -117670
255866, -127, 1017, -269, -32200, 227850, -20720
255886, -142, 1070, -277, -66640, 265230, 29050
255906, -152, 1326, -329, -46550, 263270, -15330
255926, -145, 1713, -427, 7910, 234780, -117530
255946, -122, 1997, -532, 20090, 211470, -189980
255966, -138, 1997, -602, -59780, 232050, -153300
255986, -167, 1997, -600, -143290, 293720, -48230
256006, -176, 1997, -609, -87570, 332920, -24500
256026, -133, 1997, -665, 52640, 309330, -129080
256046, -119, 1997, -688, 58450, 276430, -209440
256066, -157, 1993, -568, -57050, 312620, -142380
256086, -173, 1658, -413, -52080, 379400, -53620
256106, -149, 1351, -300, 72030, 387170, -92680
256126, -113, 1030, -233, 111930, 340060, -199010
256146, -89, 793, -206, 29190, 303310, -252910
256166, -91, 851, -253, -68530, 307860, -232960
256186, -120, 1057, -315, -115850, 341670, -179340
256206, -158, 1164, -321, -112350, 391300, -113050
256226, -175, 1231, -311, -79030, 438550, -58240
256246, -161, 1124, -273, -12110, 404530, -168840
256266, -123, 745, -176, 8610, 359170, -262500
256286, -99, 431, -99, 8610, 345380, -290010
256306, -84, 163, -33, -2100, 349440, -281610
256326, -73, 59, -10, -8190, 350210, -279160
256346, -72, 52, -8, -3220, 346710, -284060
256366, -81, 114, -19, 3360, 343490, -282660
256386, -98, 438, -89, 2730, 340060, -272160
256406, -89, 702, -184, -36120, 346290, -222740
256426, -103, 447, -150, -138390, 384790, -92540
256446, -96, 246, -126, -205170, 427700, 16030
256466, -92, 113, -86, -191870, 441630, 27510
256486, -89, 77, -72, -121590, 443870, -13020
256506, -91, 78, -68, -41300, 439670, -65310
256526, -111, 174, -77, 37100, 436100, -106820
256546, -139, 446, -122, 105490, 428260, -137900
256566, -150, 668, -118, 150360, 411600, -158200
256586, -116, 454, -50, 106120, 382830, -151480
256606, -84, 286, -36, -37520, 335720, -138180
256626, -94, 495, -108, -161350, 283710, -148750
256646, -93, 807, -247, -220150, 245770, -169750
256666, -106, 1013, -335, -205870, 240170, -172760
256686, -152, 1195, -323, -82810, 289450, -122990
256706, -185, 1207, -241, 64610, 347760, -57750
256726, -175, 1152, -217, 90230, 336840, -67970
256746, -144, 1269, -310, 770, 245000, -185430
256766, -114, 1475, -433, -55930, 157290, -311010
256786, -129, 1722, -471, 6370, 158620, -314580
256806, -179, 1793, -412, 119700, 245280, -170870
256826, -191, 1780, -396, 134890, 317590, -21980
256846, -159, 1922, -494, 48510, 283990, -43470
256866, -115, 1997, -573, 21770, 189840, -194320
256886, -132, 1997, -527, 84350, 167650, -235760
256906, -172, 1840, -439, 68110, 238280, -85610
256926, -154, 1651, -420, -69930, 281330, 40950
256946, -128, 1678, -419, -131530, 232190, -23030
256966, -106, 1685, -387, -51870, 168070, -151340
256986, -114, 1540, -362, -18480, 159530, -162610
257006, -121, 1302, -348, -133840, 188510, -64330
257026, -116, 1176, -322, -265580, 202860, 10010
257046, -116, 1190, -290, -253680, 186480, -13230
257066, -112, 1236, -259, -124740, 159530, -90020
257086, -94, 1191, -259, -44940, 137130, -140070
257106, -85, 976, -256, -213990, 120890, -82950
257126, -78, 702, -203, -247310, 131740, -37450
257146, -75, 440, -120, -180110, 141890, -24990
257166, -69, 320, -73, -90930, 139160, -45150
257186, -80, 480, -107, -30170, 125930, -74900
257206, -89, 757, -166, 4060, 113540, -89950
257226, -80, 618, -121, 5950, 114940, -62930
257246, -67, 337, -57, -28770, 121450, -10290
257266, -59, 217, -31, -59080, 112770, 12950
257286, -53, 163, -22, -63140, 94290, 5320
257306, -48, 138, -20, -47670, 75600, -13440
257326, -45, 142, -24, -18970, 61740, -31010
257346, -44, 164, -32, 14910, 54530, -39130
257366, -40, 181, -35, 51030, 55440, -32410
257386, -41, 192, -34, 83790, 62510, -10640
257406, -45, 204, -31, 105630, 72450, 24290
257426, -51, 225, -27, 112700, 81760, 67130
257446, -57, 207, -21, 105070, 87500, 111090
257466, -61, 182, -13, 87080, 87010, 147280
257486, -65, 190, -14, 66850, 76860, 164780
257506, -88, 352, -52, 48790, 58030, 163030
257526, -117, 711, -136, 31010, 30520, 144270
257546, -127, 978, -220, 3640, -9030, 106260
257566, -119, 1017, -248, -23380, -50610, 63280
257586, -106, 916, -219, -25130, -77980, 34650
257606, -119, 1144, -275, -10080, -89180, 27790
257626, -131, 1410, -346, -13580, -94360, 38150
257646, -144, 1709, -433, -41930, -96600, 63000
257666, -152, 1948, -495, -56210, -101780, 77070
257686, -183, 1997, -726, -16590, -122430, 43890
257706, -923, 1997, 942, 56980, -141890, -9730
257726, -153, 1122, -236, 231770, -131460, 169610
257746, -133, 173, 42, 236880, -243670, 432670
257766, -355, 808, 93, 100730, -354970, 253400
257786, -442, 1997, -636, -80920, -499310, 92610
257806, -59, 1903, -1345, -689570, -785400, -164640
257826, 54, 1997, -1261, -1158080, -925540, -208040
257846, -289, 1997, -333, 114940, -606830, 89250
257866, -336, 1997, -1044, 1261540, -366800, 177800
257886, -177, 731, -559, -217910, -522550, 112770
257906, -177, 342, -346, -1080100, -628390, 189000
257926, -114, 85, -201, -9100, -611590, 38710
257946, -204, 116, -193, 718060, -648690, -259140
257966, -235, 579, -198, 618240, -769300, -447860
257986, -85, 1498, -431, 321790, -784000, -317870
258006, -384, 742, -272, -249130, -570990, 381780
258026, -416, 824, -335, -420350, -347830, 997990
258046, -313, 407, -64, -155330, -305620, 1077230
258066, -492, 641, -138, 273560, -528780, 490490
258086, -491, 815, -305, 229810, -959840, -373520
258106, -274, 1034, -512, -164010, -1146250, -682430
258126, -19, 642, -491, -430500, -1043910, -509740
258146, -39, -25, -98, -238420, -701680, -34300
258166, -26, -28, -59, 25620, -472500, 201600
258186, -18, -22, -42, 127960, -396620, 203980
258206, -17, -27, -27, 198030, -337610, 194460
258226, -20, -3, -38, 240100, -296590, 170940
258246, -34, 41, -49, 273280, -263970, 135030
258266, -108, 392, -99, 313740, -235760, 83510
258286, -164, 1055, -189, 341460, -241290, -11550
258306, -130, 1214, -266, 250740, -304920, -135590
258326, -92, 825, -253, -17500, -352170, -150080
258346, -68, 502, -195, -204330, -317660, -42490
258366, -65, 557, -230, -155400, -242900, 46480
258386, -115, 862, -255, 19250, -178150, 52990
258406, -164, 1276, -239, 220780, -139510, -4130
258426, -149, 1467, -274, 267680, -158970, -95690
258446, -96, 1134, -298, 58730, -209090, -143360
258466, -62, 760, -264, -176330, -209860, -93380
258486, -66, 731, -265, -177450, -151410, -17570
258506, -111, 1090, -296, -6020, -80360, 11340
258526, -148, 1339, -249, 198240, -24290, -1960
258546, -136, 1392, -257, 265020, -13230, -38710
258566, -97, 1358, -366, 92400, -48230, -70140
258586, -79, 1350, -444, -119700, -62090, -50890
258606, -120, 1470, -401, -102760, -770, 27650
258626, -162, 1561, -294, 129710, 105630, 114520
258646, -160, 1603, -293, 274820, 165200, 141820
258666, -113, 1653, -437, 131740, 128800, 89600
258686, -89, 1738, -547, -109690, 65800, 24850
258706, -137, 1920, -504, -124810, 85750, 42420
258726, -197, 1945, -360, 88970, 187180, 137480
258746, -161, 1818, -394, 173250, 239960, 177800
258766, -95, 1645, -478, -19320, 160160, 57820
258786, -84, 1523, -446, -172830, 58310, -110390
258806, -120, 1389, -317, -66360, 71680, -142870
258826, -144, 1205, -214, 78120, 178780, -27510
258846, -127, 1106, -237, -59430, 123200, -107380
258866, -103, 1040, -281, -126840, 53410, -240100
258886, -86, 933, -266, -51730, 41790, -314580
258906, -83, 763, -188, 63770, 85750, -293020
258926, -84, 584, -112, 103600, 133700, -229040
258946, -81, 487, -75, 58660, 153650, -183540
258966, -76, 431, -66, -22120, 147980, -173110
258986, -64, 343, -64, -95620, 132090, -187040
259006, -56, 225, -48, -131670, 120050, -212310
259026, -46, 131, -31, -126000, 119910, -235760
