T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
227965, -113, -40, 1023, -5740, 18690, 1750
227985, -122, -34, 1020, -2380, 11900, -350
228005, -143, -39, 984, 280, 7420, -420
228025, -164, -35, 958, 770, 6160, -2800
228045, -173, -33, 981, -4620, 15190, -12320
228065, -180, -35, 1013, -7630, 17010, -24780
228085, -160, -37, 1049, -140, -350, -29260
228105, -130, -23, 1019, 17010, -22400, -30100
228125, -132, -15, 1024, 37730, -37800, -36330
228145, -82, -12, 940, 55790, -57960, -43890
228165, -69, -2, 969, 61180, -58660, -51940
228185, -109, 18, 1114, 55720, -10010, -50610
228205, -39, 10, 1057, 35420, 12320, -35980
228225, -52, 40, 1128, 18270, 15610, -24010
228245, -82, 67, 1210, 12670, 39550, -18830
228265, -129, 46, 1228, 11830, 33180, -14420
228285, -115, 52, 1159, 20510, 8470, -3360
228305, -88, 62, 1091, 27580, -12390, 5600
228325, -125, 75, 1097, 24430, -3500, 2590
228345, -138, 85, 1061, 23310, 13090, 1750
228365, -156, 74, 1047, 23030, 13230, -2660
228385, -174, 64, 1056, 23100, 5390, -4200
228405, -159, 83, 1015, 22680, 1120, 3430
228425, -126, 109, 977, 22820, -2940, 10500
228445, -123, 131, 981, 20860, -910, 12460
228465, -141, 129, 976, 19950, 8890, 12880
228485, -136, 138, 1001, 18480, 9660, 13090
228505, -84, 170, 994, 15820, 11340, 12530
228525, -112, 195, 978, 17570, 10500, 13720
228545, -100, 217, 952, 23030, 15190, 10010
228565, -108, 234, 953, 34580, 9730, 3570
228585, -128, 238, 927, 48230, 2590, -1890
228605, -114, 263, 935, 51310, -17500, 630
228625, -70, 297, 809, 63210, -53340, 3290
228645, -48, 292, 656, 81760, -97230, 6090
228665, -40, 317, 630, 71050, -107520, -10150
228685, -135, 312, 588, 50680, -67270, -56840
228705, 13, 298, 300, 46060, -31080, -99470
228725, -134, 312, -143, 119350, -13510, -153370
228745, -201, 757, -218, 355600, -15400, -226030
228765, -186, 1327, -261, 545370, -38850, -322700
228785, -184, 1446, -266, 578480, -54180, -300580
228805, -239, 1279, -297, 407960, -27370, -56420
228825, -231, 1092, -332, 108920, 101080, 364770
228845, -342, 1471, -427, 402150, 69160, 108710
228865, -363, 1997, -511, 730940, -39620, -274330
228885, -218, 1997, -548, 651210, -124880, -344190
228905, -249, 1991, -541, 297570, -39340, 20020
228925, -288, 1547, -409, 226520, 105490, 306670
228945, -386, 1704, -382, 504700, 86730, 102130
228965, -306, 1954, -418, 655620, -87500, -291480
228985, -133, 1736, -455, 447510, -199570, -363020
229005, -155, 1302, -375, 222740, -105700, -58520
229025, -198, 955, -217, 241710, 50540, 215670
229045, -230, 778, -104, 358260, 83720, 190470
229065, -226, 766, -94, 385560, -28000, -44940
229085, -172, 752, -129, 274960, -182000, -265300
229105, -102, 683, -169, 101290, -269220, -325710
229125, -63, 590, -182, -26320, -252770, -221410
229145, -80, 561, -168, -60900, -161980, -28070
229165, -153, 782, -173, -36680, -51940, 168980
