T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
373638, 143, -1074, -27, -88620, 73710, 16800
373658, 286, -1001, 0, -24710, 43050, -2380
373678, 288, -901, 120, 22890, 66570, -50260
373698, 58, -775, 141, 26950, 139930, -133280
373718, 108, -839, 44, 29540, 129220, -77560
373738, 348, -802, 149, 8890, 54180, -19670
373758, 298, -901, 68, -2590, 3220, -10710
373778, 346, -983, -7, 7280, -13720, -210
373798, 387, -880, 33, 14350, -9240, -3850
373818, 312, -929, -33, 12180, -10010, -1750
373838, 397, -932, -1, 13230, -9660, -7560
373858, 430, -951, -16, 18480, -8890, -19950
373878, 389, -936, 65, 17290, -3430, -17150
373898, 393, -951, 64, 19460, 15960, -17220
373918, 402, -964, 41, 10640, 18900, -10710
373938, 389, -1017, -22, 4410, 9240, -1820
373958, 348, -943, 69, 7210, 3710, 5670
373978, 330, -910, 66, 20160, 13440, 11410
373998, 368, -920, 51, 23240, 19040, 10780
374018, 348, -930, 124, 24640, 19320, 4690
374038, 307, -925, 172, 27720, 22680, -560
374058, 343, -932, 143, 28420, 38150, -5180
374078, 367, -943, 127, 26180, 43540, -4900
374098, 239, -939, 216, 25550, 32340, -2030
374118, 287, -925, 171, 36470, 25130, 1540
374138, 316, -1034, -108, 28350, 17010, -3850
374158, 338, -953, 93, 19880, 5460, -6580
374178, 353, -860, 247, 52080, 910, -6790
374198, 567, -601, 131, 42630, -15890, 13650
374218, 303, -797, 555, 18270, -42490, 48370
374238, 300, -982, 168, 31430, -18830, 48020
374258, 327, -871, 96, 55440, -11550, 66920
374278, 248, -910, 339, 83930, -12320, 67060
374298, 184, -764, 569, 114380, 8260, 68600
374318, -16, -970, 366, 138950, 51030, 74830
374338, -192, -990, 528, 163590, 59080, 90440
374358, 314, -974, 387, 187600, 56770, 68320
374378, 125, -1008, 438, 194180, 54950, 74340
374398, 233, -755, 585, 222880, 46410, 100730
374418, 14, -695, 675, 230510, 49630, 109620
374438, -75, -603, 598, 202930, 55580, 123130
374458, -87, -560, 795, 170870, 23800, 129220
374478, -96, -586, 818, 134750, -8120, 106610
374498, -91, -515, 910, 106190, 10990, 103530
374518, -141, -567, 935, 95900, 26460, 89810
374538, -203, -556, 978, 84210, 30310, 56560
374558, -193, -552, 964, 48370, 12740, 37450
374578, -147, -536, 912, 11130, -21070, 29120
374598, -150, -540, 978, -20300, -46690, 18270
374618, -81, -588, 859, -51660, -63770, 4200
374638, -1319, -152, 1998, -70140, -71680, -3360
374658, -325, -497, 960, 27580, -24290, 28280
374678, -101, -600, 1011, 5600, -48160, 39480
374698, -30, -568, 859, -47110, -47950, 1260
374718, -86, -623, 896, 6650, 7420, -1610
374738, -72, -634, 931, 19740, 2590, 5180
374758, -84, -603, 944, -1890, -21070, 9170
374778, -95, -608, 863, -17710, -24360, 8540
