T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
249028, 95, 296, 906, 74900, -280, -59920
249048, 26, 252, 935, 73150, 29750, -83790
249068, -94, 259, 940, 80500, 28000, -99470
249088, -180, 262, 859, 83510, 15330, -95340
249108, -211, 292, 877, 75460, 11620, -58800
249128, -190, 361, 1061, 56210, 19950, -9170
249148, -250, 254, 1071, 32480, 14210, 24010
249168, -375, 239, 1147, 19180, 10080, 630
249188, -373, 64, 1039, 22470, 23450, -43190
249208, -57, 496, 1004, 33320, 7140, -45220
249228, -223, -4, 756, 102900, -77910, -54460
249248, 58, 563, 836, 43820, -62090, -16240
249268, -91, 320, 825, 92610, -112210, 6860
249288, 78, 391, 767, 105350, -161560, 52500
249308, 78, 384, 708, 167300, -210840, 44240
249328, 147, 752, 417, 288470, -254100, 59640
249348, 311, 871, 408, 311640, -225750, 66850
249368, 251, 771, 598, 146720, -135520, 65240
249388, 190, 760, 597, 24080, -74830, 47180
249408, 310, 794, 526, 32620, -101570, 67830
249428, 481, 727, 443, 39760, -117950, 104510
249448, 393, 814, 368, 82600, -141540, 115990
249468, 366, 729, 222, 109130, -132860, 90580
249488, 402, 729, 183, 93030, -123340, 87710
249508, 411, 689, 181, 90020, -126280, 93940
249528, 376, 598, 8, 84700, -125230, 112350
249548, 348, 509, -275, 110600, -174580, 148610
249568, 627, 401, -484, 127750, -235970, 198310
249588, 605, 353, -452, 91700, -211190, 207200
249608, 480, 70, -509, 36960, -136850, 206080
249628, 559, 81, -620, 4550, -170940, 222110
249648, 772, -40, -550, 490, -274890, 248290
249668, 1031, -100, -530, -42280, -326970, 281820
249688, 991, 96, -329, -70070, -331450, 279790
249708, 698, 337, -382, -66150, -287490, 248990
249728, 595, 48, -586, -33880, -323750, 266140
249748, 134, -50, -374, 213220, -432040, 348250
249768, -16, -740, -406, 846580, -333340, 509320
249788, -834, -1891, 139, 1265040, -584780, 453250
249808, -922, -1998, -1997, 786450, -759010, 290850
249828, -512, -1199, -653, -490420, -422240, 14210
249848, -124, -505, 241, 181440, -409430, -265790
249868, -302, -980, -767, 110950, -805070, -136710
249888, -450, -1674, -1131, -87920, -817600, -61950
249908, -357, -1660, -578, 401450, -700280, -233170
