T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
40075, -341, 997, -177, 55580, -75670, 225680
40095, -379, 1176, -363, -493850, -134050, 437430
40115, -395, 1352, -577, -853860, -337260, 355180
40135, -162, 1803, -727, -867860, -552650, 81620
40155, -158, 1997, -744, -479290, -593950, -128240
40175, -563, 1997, -658, -54040, -382270, 80220
40195, -495, 1997, -666, -188580, -109060, 635530
40215, -273, 1997, -796, -680680, -161840, 806610
40235, -122, 1997, -792, -540820, -472710, 345240
40255, -280, 1997, -565, -6300, -557760, 57470
40275, -478, 1685, -382, 80500, -333480, 428820
40295, -326, 1207, -299, -172130, -142730, 885570
40315, -224, 1320, -397, -257530, -208460, 860230
40335, -128, 1567, -493, -25970, -414330, 443870
40355, -101, 1419, -395, 220500, -534380, 119630
40375, -157, 865, -166, 262500, -291060, 481110
40395, -144, 354, -32, 224420, -210210, 596470
40415, -98, 88, 4, 199360, -239610, 505540
40435, -76, 18, 2, 194600, -294280, 370580
40455, -101, 77, 6, 199150, -334250, 264460
40475, -236, 342, 28, 172340, -385490, 154560
40495, -262, 836, -157, 13370, -514570, -33320
40515, -164, 897, -376, -277620, -658700, -197260
40535, -80, 410, -274, -425670, -649460, -150990
40555, -35, 191, -196, -291690, -502180, 18690
40575, -15, 458, -269, -86870, -354620, 136780
40595, -85, 1210, -353, 131250, -187740, 270550
40615, -364, 1793, -240, 312970, 44660, 538650
40635, -552, 1878, -317, 77700, 178220, 808920
40655, -343, 1833, -653, -580580, -770, 754670
40675, -117, 1997, -945, -826770, -320460, 378840
40695, -177, 1997, -807, -158830, -340760, 154350
40715, -611, 1997, -679, 372610, -61040, 435120
40735, -599, 1997, -888, -267750, 61320, 814310
40755, -152, 1997, -808, -714350, -174510, 635880
40775, -125, 1997, -646, -35630, -317450, 244160
40795, -402, 1997, -535, 369530, -210630, 280490
40815, -439, 1764, -525, -77630, -58590, 677810
40835, -245, 1343, -440, -448630, -61180, 860370
40855, -174, 1738, -443, -114450, -191030, 580020
40875, -125, 1939, -410, 344750, -306950, 187250
40895, -191, 1547, -388, 284970, -310520, 157710
40915, -225, 854, -227, -24430, -196070, 458640
40935, -159, 436, -91, -110950, -107870, 653660
40955, -119, 257, -37, 14770, -123550, 556220
40975, -114, 267, -31, 132650, -199570, 324380
40995, -146, 549, -63, 152320, -280910, 122500
41015, -152, 1079, -234, 74690, -351750, -9450
41035, -143, 1171, -396, -129780, -407750, -51170
41055, -174, 1001, -378, -373380, -386540, 86800
41075, -207, 937, -251, -404600, -269220, 338940
41095, -250, 1094, -152, -215740, -162400, 466410
41115, -255, 1575, -303, -74340, -181300, 344820
41135, -180, 1872, -638, -216720, -332780, 82390
41155, -171, 1871, -747, -553070, -449190, -31010
41175, -279, 1997, -534, -642460, -356720, 179340
41195, -364, 1997, -388, -313040, -132020, 489580
41215, -264, 1997, -795, -112350, -271810, 199500
41235, -128, 1997, -997, -674100, -350070, 118510
41255, -256, 1997, -600, -269850, -125160, 391440
41275, -341, 1997, -367, -30170, 20790, 529620
41295, -237, 1854, -549, -386120, -118930, 344750
41315, -119, 1476, -610, -615790, -246470, 179410
41335, -102, 1365, -456, -346640, -161560, 228690
41355, -189, 1372, -276, 6650, 5810, 363720
41375, -236, 1249, -198, 21280, 73080, 420490
41395, -187, 1055, -270, -251860, -7140, 329910
41415, -109, 839, -318, -450520, -122500, 170590
41435, -61, 628, -264, -368970, -149660, 57960
41455, -55, 487, -171, -127890, -87990, 22120
41475, -63, 393, -97, 53480, -10290, 30450
41495, -80, 410, -60, 95900, 34580, 42490
41515, -114, 565, -63, 33040, 41440, 39900
41535, -124, 676, -120, -107730, 13230, 13020
41555, -108, 718, -218, -271320, -38360, -50260
41575, -96, 732, -284, -321440, -72030, -144340
41595, -114, 827, -293, -168630, -49560, -238630
41615, -149, 1047, -252, 92540, 17920, -291340
41635, -172, 1221, -184, 237370, 75460, -285460
41655, -168, 1207, -216, 126910, 79450, -258720
41675, -158, 1140, -327, -131390, 32970, -281960
41695, -224, 1305, -475, -219450, -6090, -387730
41715, -307, 1916, -557, 43750, 10290, -532840
41735, -275, 1997, -508, 427280, 54810, -613760
41755, -201, 1997, -634, 444990, 76300, -543130
41775, -225, 1997, -819, 73080, 86520, -397600
41795, -337, 1997, -808, 58170, 129150, -361270
41815, -276, 1997, -544, 547050, 183890, -425810
