T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
185994, -95, 8, 1065, 17430, 9310, -41370
186014, -125, -18, 1070, 19460, 4200, -48510
186034, -147, -9, 1085, 20650, -11130, -41650
186054, -137, 3, 1068, 18690, -17080, -30310
186074, -112, 35, 1077, 21420, -13720, -25200
186094, -121, 45, 1067, 24150, -11270, -24010
186114, -133, 48, 1046, 32410, -14840, -22260
186134, -128, 68, 1082, 35560, -25340, -18620
186154, -128, 70, 1148, 32830, -27720, -19250
186174, -91, 79, 1087, 35140, -36190, -20090
186194, -63, 84, 1062, 48230, -44660, -19110
186214, -7, 123, 1038, 49070, -39200, -23100
186234, -12, 141, 1017, 43260, -38080, -24570
186254, -17, 164, 1094, 35840, -24710, -25410
186274, -38, 160, 1084, 27160, -13300, -26110
186294, -10, 171, 1024, 38080, -24570, -25130
186314, 40, 209, 867, 56700, -39270, -25340
186334, 59, 228, 875, 69650, -37030, -31150
186354, 72, 253, 977, 68250, -16940, -40740
186374, 25, 234, 1050, 60550, 5810, -50960
186394, 29, 295, 1032, 89180, 27300, -57820
186414, 21, 382, 1024, 177100, 34020, -47740
186434, 9, 437, 879, 252140, 22190, -30520
186454, -30, 546, 779, 299740, -7000, -14770
186474, -108, 579, 663, 334460, -15750, -9800
186494, -7, 664, 520, 332640, -24220, -14560
186514, -30, 619, 395, 326480, -45290, -42560
186534, -169, 362, 218, 304220, -57680, -58520
186554, -54, 40, -63, 255780, -82180, -59360
186574, -77, 141, -90, 241080, -84560, -139580
186594, -110, 730, -291, 344960, -34230, -280700
186614, -86, 1473, -354, 485170, -8190, -316680
186634, -181, 1186, -91, 535430, 184380, 121240
186654, -182, 463, -19, 48370, 220640, 408310
186674, -156, 327, -53, -296450, 131950, 401030
186694, -128, 376, -108, -354340, 16030, 225050
186714, -127, 391, -149, -165620, -106470, -97510
186734, -118, 374, -155, 156310, -163310, -371630
186754, -91, 914, -242, 341670, -157710, -439950
186774, -51, 1465, -314, 376530, -95830, -296660
186794, -221, 1456, -259, 221900, 71190, 140770
186814, -265, 1034, -205, -104720, 200550, 544180
186834, -177, 557, -130, -290220, 126770, 496020
186854, -172, 610, -157, -133700, -73990, 63490
186874, -169, 1437, -373, 108430, -228410, -335510
186894, -34, 1990, -480, 219240, -268660, -455770
186914, -175, 1997, -506, 127610, -123760, -126910
186934, -249, 1811, -360, -112980, 98700, 402290
186954, -263, 1997, -482, -214760, 95690, 453740
186974, -96, 1997, -987, 32760, -184380, -125580
186994, -24, 1997, -1095, 184660, -343770, -464870
187014, -251, 1997, -543, 10080, -44240, 110880
187034, -229, 1745, -328, -92610, 154770, 489720
