T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
33821, -112, -330, 898, 55790, -4060, 39620
33841, -105, -253, 898, 73360, -22050, 42630
33861, -75, -152, 929, 85680, -29050, 48650
33881, -72, -90, 892, 86870, -23240, 65450
33901, -75, -46, 957, 85330, -17220, 84980
33921, -37, -94, 1021, 80220, -23870, 100590
33941, -47, -80, 981, 72030, -38080, 91350
33961, 0, -103, 1042, 64960, -32200, 73780
33981, 117, -31, 1130, 50610, -2660, 54810
34001, 92, -54, 1197, 59430, -6440, 49210
34021, 54, -17, 1133, 63630, -16170, 64330
34041, 68, 42, 1119, 56840, -25480, 58800
34061, 33, 44, 1148, 56420, -10080, 53900
34081, 14, 94, 1085, 66150, -70, 49630
34101, 16, 136, 1062, 81340, -3290, 21490
34121, -6, 214, 1028, 94220, 5110, 4690
34141, -52, 188, 1011, 110880, 13720, -3010
34161, -79, 244, 1027, 139090, 34160, -17500
34181, -109, 272, 932, 151620, 36120, -10010
34201, -79, 333, 836, 119350, -9940, -8260
34221, -71, 345, 824, 119770, -33110, -17640
34241, -1, 424, 830, 128100, -33250, -29890
34261, 42, 480, 810, 145460, -15960, -12600
34281, 71, 591, 698, 158760, 5810, 21910
34301, 107, 639, 759, 140980, 2450, 40320
34321, 126, 704, 729, 139720, -4690, 42070
34341, 74, 713, 763, 143990, -14350, 29050
34361, 59, 730, 684, 159740, -12250, 25270
34381, 61, 738, 635, 168980, -23800, 30240
34401, 57, 728, 616, 128100, -47110, 39480
34421, 69, 685, 601, 85680, -60970, 42070
34441, 79, 633, 543, 52360, -94010, 46480
34461, 105, 667, 599, 46690, -127260, 42910
34481, 150, 687, 591, 63140, -134960, 5880
34501, 251, 797, 548, 73850, -145530, -29190
34521, 327, 818, 507, 64610, -154980, -21770
34541, 303, 831, 495, 75250, -46690, -10920
34561, 279, 861, 573, 56980, 1680, 1680
34581, 236, 862, 496, 48300, 6300, 6370
34601, 352, 963, 503, 35000, -19950, 10430
34621, 374, 968, 555, 17780, -41020, 20230
34641, 411, 931, 396, 24010, -55580, 65940
34661, 228, 844, 327, 97370, -3220, 55650
34681, 283, 727, 198, 179200, 61810, -45500
