T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
71332, -151, -20, 904, 24850, 12040, -12180
71352, -232, 5, 1141, 31290, 26810, -17780
71372, -155, -66, 1015, 14490, 10150, -16730
71392, -106, -5, 1000, 5880, -22050, -17780
71412, -108, -14, 947, 11690, 140, -31640
71432, -163, 75, 1085, 20930, 46760, -40670
71452, -196, -28, 1013, 16800, 30730, -37800
71472, -182, -6, 993, 18060, -840, -32760
71492, -181, 27, 1022, 21070, -7910, -33950
71512, -227, -63, 1032, 15960, -14070, -33390
71532, -232, -69, 1060, 5390, -25760, -38710
71552, -230, -82, 1104, -3430, -35910, -45640
71572, -236, -130, 1175, -9450, -54040, -43960
71592, -218, -158, 1011, -14490, -91420, -39900
71612, -145, -282, 488, 46830, -147420, -90650
71632, -560, 210, 1117, 226870, -233590, -166810
71652, 974, 1197, 877, 469000, -385700, -207270
71672, 581, 771, 775, 529270, -715750, -337470
71692, -159, 127, 789, 77070, -212590, -162890
71712, 546, 625, 744, -68600, 97300, 1540
71732, 160, 378, 794, -2310, -13580, -100100
71752, 255, 509, 836, -53410, 32550, -71540
71772, 147, 414, 852, -54320, 33530, -92400
71792, 299, 195, 1044, -59570, 34300, -63140
71812, 210, 504, 1011, -38010, 33460, -53410
71832, 3, 308, 911, -29120, 97160, -74480
71852, -6, 394, 918, -13580, 98770, -69160
71872, 2, 409, 919, 26530, 90020, -81270
71892, 132, 444, 1001, 50960, 52850, -79240
71912, 126, 415, 840, 73850, 10640, -62300
71932, -220, 575, 893, 44240, 61250, -44800
71952, -150, 580, 1038, 43190, 173390, 22960
71972, -145, 566, 948, 40110, 129360, 10220
71992, -116, 593, 964, 20580, 112070, 6300
72012, -116, 667, 852, 14210, 108710, -1120
72032, -227, 861, 625, -8470, 95620, 11830
72052, -237, 453, 149, -136990, 64540, 78470
72072, -81, 222, -77, -212380, 121870, 47040
72092, -220, -19, -110, -211400, 322140, 37170
72112, -434, 170, 658, -114310, 506520, -25690
72132, -414, 813, 642, 26110, 601370, -265720
72152, -931, 992, 363, 96320, 798910, -234290
72172, -569, 1751, -857, 115570, 978320, 79030
72192, -793, 1239, -541, 59990, 1314600, 432390
72212, -498, 385, -282, -176260, 1427930, 634200
72232, -336, 132, -175, -379400, 1170330, 172060
72252, -336, 204, -120, -163030, 915600, -411670
72272, -378, 1114, -202, 82670, 808360, -644420
72292, -243, 1721, -256, 82390, 742280, -617190
72312, -131, 1570, -621, -468370, 668220, -381220
72332, -104, 1096, -914, -1155700, 588700, -211190
72352, -448, 1672, -795, -932540, 623280, -286370
72372, -670, 1997, -363, 180810, 788060, -423920
72392, -338, 1997, -379, 675500, 739130, -522200
72412, 104, 1997, -1006, -72450, 387380, -766640
72432, -314, 1997, -921, -437220, 334460, -786520
72452, -475, 1584, -332, 319550, 728910, -305550
72472, -348, 747, -55, 694680, 949340, 81200
72492, -210, 379, -23, 422520, 787290, -5460
72512, -169, 680, -105, 173950, 544670, -243180
72532, -118, 1238, -278, 79310, 404250, -349860
72552, -162, 874, -251, -45360, 370510, -250530
72572, -203, 537, -201, -287560, 441840, 84770
72592, -234, 664, -231, -485940, 478660, 333130
72612, -198, 654, -141, -553630, 426790, 359380
72632, -223, 806, -98, -461440, 304080, 175350
72652, -226, 1264, -170, -241640, 118650, -200900
72672, -138, 1722, -350, -154980, -55510, -519050
72692, -107, 1825, -564, -323960, -140210, -581000
72712, -180, 1625, -507, -569030, -79520, -349860
72732, -334, 1749, -329, -537670, 58450, -65800
72752, -354, 1997, -322, -164150, 81900, -112630
72772, -177, 1910, -459, 57820, -105490, -492170
72792, -90, 1418, -493, -176820, -283570, -713580
72812, -157, 1164, -360, -211610, -54180, -280980
72832, -268, 1244, -239, 116270, 25200, -218890
72852, -308, 1335, -200, 259770, -70140, -384020
72872, -224, 1308, -290, 133770, -237370, -576170
72892, -117, 1097, -371, -4480, -291690, -578480
72912, -88, 914, -351, 83650, -199570, -403410
72932, -135, 969, -287, 333830, -69300, -207760
72952, -202, 1180, -234, 527660, -10150, -109270
72972, -218, 1240, -225, 529760, -61180, -131460
72992, -168, 1309, -367, 380240, -175560, -212030
73012, -98, 1498, -547, 322560, -220150, -210490
73032, -124, 1811, -518, 524230, -120680, -54670
73052, -201, 1825, -318, 771820, 29890, 162050
73072, -215, 1764, -312, 705180, 66990, 269920
73092, -164, 1885, -507, 434280, -9730, 247800
73112, -150, 1997, -604, 363790, -41090, 242270
73132, -233, 1997, -378, 556150, 43680, 336280
73152, -244, 1899, -308, 589890, 103320, 415520
73172, -189, 1937, -512, 323540, 36890, 379050
73192, -153, 1977, -564, 172200, -21840, 340830
73212, -188, 1756, -345, 349650, 37240, 390880
73232, -202, 1369, -186, 489020, 105700, 446040
73252, -173, 1039, -177, 334740, 73990, 430150
73272, -145, 907, -210, 113330, -6510, 380730
73292, -123, 783, -192, 31220, -56770, 352310
73312, -115, 623, -111, 85960, -58450, 355950
73332, -111, 439, -35, 158620, -46200, 368130
73352, -120, 349, 6, 155890, -59640, 364350
73372, -152, 481, -13, 84280, -104160, 345590
73392, -214, 812, -122, -33320, -169750, 327180
73412, -251, 1048, -302, -212380, -249130, 332710
73432, -242, 1037, -383, -402850, -313600, 399350
73452, -207, 939, -273, -405020, -314300, 516880
73472, -225, 1129, -198, -155470, -264810, 586530
73492, -305, 1653, -277, 77560, -244370, 552020
73512, -426, 1997, -626, 22190, -291130, 503860
73532, -468, 1997, -757, -300790, -348950, 599970
73552, -424, 1997, -540, -445410, -327460, 851410
73572, -397, 1997, -816, -84980, -326970, 852180
73592, -312, 1997, -916, 21770, -548240, 427630
73612, -294, 1481, -420, -369110, -694260, 319410
73632, -278, 825, -121, -239260, -551950, 634760
