T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
256542, -178, -66, 1082, 4130, 490, 10220
256562, -164, -49, 1056, 10990, -11760, 11200
256582, -153, -32, 1025, 12740, -19670, 11340
256602, -154, -11, 1020, 12040, -23590, 13650
256622, -130, -20, 1045, 12810, -23240, 15610
256642, -106, -15, 1041, 10290, -25690, 15470
256662, -121, -8, 1044, 12110, -28980, 20370
256682, -98, 4, 1038, 18270, -28700, 26670
256702, -98, 33, 1089, 18690, -28420, 31920
256722, -84, 17, 1109, 16450, -26670, 35840
256742, -72, 26, 1162, 10150, -21700, 34090
256762, -98, 26, 1152, 9030, -16800, 35000
256782, -63, 44, 1116, 14000, -23030, 30590
256802, -64, 53, 1089, 19740, -21420, 23800
256822, -65, 61, 1082, 17010, -10220, 19530
256842, -58, 70, 1068, 15470, 70, 13230
256862, -38, 67, 1049, 13720, 1120, -140
256882, -22, 99, 1013, 10570, 1330, -14070
256902, -10, 107, 1045, 5180, 4270, -17360
256922, -51, 81, 1058, -2030, 10640, -15610
256942, -89, 80, 1060, -6300, 24080, -9800
256962, -82, 83, 1026, -5670, 23800, -6720
256982, -72, 66, 1033, -6440, 20790, -8610
257002, -92, 50, 1031, -7280, 26670, -9660
257022, -131, 50, 1006, -7350, 34860, -4340
257042, -172, 58, 987, -2520, 43610, 4060
257062, -206, 65, 962, 3290, 45080, 11060
257082, -220, 72, 961, 5600, 43400, 12180
257102, -238, 75, 975, 4690, 40880, 12530
257122, -236, 90, 979, 1960, 27090, 17570
257142, -249, 95, 971, 3290, 20860, 15190
257162, -221, 122, 958, 5740, 15050, 10080
257182, -218, 120, 949, 8890, 10010, 6510
257202, -231, 118, 927, 8050, 12110, 5110
257222, -231, 134, 916, 9870, 17290, 6090
257242, -230, 142, 946, 10080, 15610, 5810
257262, -236, 136, 913, 8890, 8190, 4550
257282, -245, 114, 915, 9870, 490, 4550
257302, -189, 130, 894, 8260, -11900, 16310
257322, -305, 148, 942, 12950, -27230, 57260
257342, -255, 163, 1017, 29540, -16100, 58450
