T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
26833, 56, -1, 1058, -22050, 12180, -25690
26853, 97, 43, 1059, -14280, 8540, -30310
26873, 132, 61, 1068, -5460, 490, -27860
26893, 103, 64, 1127, -3500, 4970, -22610
26913, 145, 78, 978, -15540, 14280, -21280
26933, 141, 59, 977, -28140, 11270, -21280
26953, -17, -3, 1024, -23730, 24150, -22610
26973, 20, 66, 1095, -14000, 35070, -20720
26993, 66, 25, 903, -6020, 17150, -6090
27013, -54, -37, 920, -20650, -7210, 2940
27033, 30, 44, 1039, -4130, -1890, 4200
27053, -91, -91, 892, 10990, 8960, 3850
27073, 0, -89, 1021, -350, -7000, 16450
27093, 21, -103, 1000, -2310, -6020, 10010
27113, -107, -181, 973, -1610, -3150, 3570
27133, 20, -27, 1037, -2590, 12880, -14980
27153, -12, -44, 1119, -980, 6510, -13930
27173, -86, -53, 1083, -17150, 6230, -15680
27193, 45, -18, 1027, -19040, 5460, -13720
27213, -150, -198, 1126, -3290, -30870, 5040
27233, -227, -318, 986, -37520, -3500, -16380
27253, -66, -232, 900, -42210, 24360, -35560
27273, -211, -465, 929, -34440, 17010, -37660
27293, -319, -439, 774, -42210, -6160, -45990
27313, 35, -56, 735, -45990, -25690, -101990
27333, 186, -90, 1153, 1680, -32060, -274540
27353, 87, -86, 863, 9450, -100100, -90230
27373, 89, -85, 1077, -18690, -62230, -52780
27393, 157, -68, 1038, -11690, -28070, -49840
27413, 192, -61, 1003, -36470, -54670, -24080
27433, 157, -119, 1074, -57540, -59920, -8540
27453, 166, -196, 1020, -102200, -48930, 10850
27473, 186, -262, 1039, -135450, -38780, 21840
27493, 193, -299, 1018, -135240, -23030, 21700
27513, 155, -386, 924, -135380, -13230, 30030
27533, 169, -389, 881, -124950, -5740, 32760
27553, 166, -429, 873, -99120, -560, 22470
27573, 138, -420, 909, -78190, 8960, 13440
27593, 114, -429, 927, -59850, 14560, 5530
27613, 151, -430, 979, -54670, 700, 8120
27633, 185, -425, 1042, -44030, -4690, 7700
27653, 176, -418, 1043, -27860, 16240, 7700
27673, 107, -460, 1049, -31080, 40110, 18200
27693, 80, -435, 979, -45990, 54950, 30940
27713, 41, -480, 988, -53130, 42140, 26320
27733, 56, -469, 984, -38710, 25480, 24150
27753, 35, -474, 1008, -15960, 14280, 16940
