T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
320719, -203, 7, 1102, 6790, -6090, 980
320739, -240, -22, 1100, 4900, -6650, 9310
320759, -226, 0, 1102, 7630, -10430, 13860
320779, -206, 14, 1061, 15260, -15680, 16800
320799, -232, 25, 1053, 19180, -13650, 18690
320819, -226, 39, 1032, 17430, -7350, 20160
320839, -195, 67, 1001, 17780, -6300, 21630
320859, -204, 89, 975, 19670, -6580, 21350
320879, -190, 120, 963, 19040, 1610, 17220
320899, -219, 145, 962, 18620, 1540, 11900
320919, -204, 191, 928, 16660, 3290, 8120
320939, -154, 241, 906, 16800, 3570, 2310
320959, -80, 291, 798, 26040, -14280, -1540
320979, -132, 281, 675, 28770, -32550, 3850
320999, -168, 260, 585, 20370, -35770, 10080
321019, -140, 201, 367, 13790, -35280, 7280
321039, -127, 63, 325, 2520, -62440, 2800
321059, -218, -93, -12, -13860, -283010, 67760
321079, -190, -75, -135, 65100, -601720, 101570
321099, -653, 129, -372, 196280, -804020, 51730
321119, -1127, 1964, -919, 321720, -860580, -143990
321139, -232, 1997, -1338, 569030, -1076390, -785820
321159, -169, 1997, -789, 417130, -1249220, -1175650
321179, -554, 1651, 39, 249550, -735560, -227710
321199, -786, 1802, -178, 308490, -158550, 763420
321219, -620, 1997, -947, -140140, -496930, 292740
321239, -3, 1820, -1159, -931140, -1147580, -909580
321259, -134, 1997, -706, -14910, -510930, -333410
321279, -633, 1997, 19, 510300, 17640, 362670
321299, -606, 1997, -635, -481880, -183960, 438550
321319, -195, 1541, -1037, -1351280, -711900, -21070
321339, -123, 1309, -727, -696080, -728700, -308980
321359, -127, 1435, -265, 369670, -406000, -243810
321379, -224, 1088, -42, 508620, -196910, 78960
321399, -281, 539, -74, -27580, -184380, 403830
321419, -286, 336, -129, -466550, -282870, 546420
321439, -300, 317, -181, -578200, -392490, 546840
321459, -239, 283, -220, -473690, -498750, 414190
321479, -294, 432, -255, -129780, -617050, 37030
321499, -359, 844, -344, 175420, -717710, -384860
321519, -185, 1307, -429, 232260, -761950, -592620
321539, -113, 1379, -435, 160860, -687960, -490770
321559, -237, 1235, -250, 81340, -471310, -67060
321579, -388, 1229, -145, -17780, -298760, 310450
321599, -503, 1609, -312, -214130, -372050, 282800
321619, -403, 1997, -756, -491750, -672140, -143850
321639, -148, 1997, -951, -649600, -855890, -491260
321659, -289, 1997, -556, -369250, -621530, -292880
321679, -541, 1997, -296, -1540, -215880, 245700
321699, -688, 1997, -431, -310800, -173320, 450730
321719, -401, 1785, 222, 16800, 129920, 157430
321739, 21, 1241, -347, 1190, 378140, -371350
321759, 192, 851, -748, -1238300, -35700, -776440
321779, -107, 406, -602, -1350160, 140280, -735000
321799, -346, 337, -415, -683480, 670810, -368690
321819, -490, 755, -489, -128940, 1095220, 9380
321839, -553, 857, -404, -37380, 1247050, 175770
321859, -535, 669, -372, -130900, 1269730, 196350
321879, -504, 718, -307, -141470, 1132740, -121310
321899, -437, 915, -204, 128730, 977480, -538930
321919, -287, 782, -40, 308560, 893830, -658070
321939, -164, 425, -63, 110740, 810740, -548870
321959, -122, 599, -183, -331310, 707280, -429240
321979, -127, 971, -507, -647920, 631960, -410200
321999, -278, 1099, -712, -783090, 614670, -435400
322019, -528, 1412, -609, -566510, 739060, -408520
322039, -611, 1415, -301, 23100, 984690, -284760
322059, -526, 1371, -202, 388710, 1087940, -210840
322079, -391, 1656, -483, 98840, 632520, -718900
322099, -308, 1939, -672, 111930, 608300, -682780
322119, -447, 1744, -567, 178710, 831880, -205310
322139, -489, 1299, -459, 79240, 1003870, 204050
322159, -442, 1115, -442, 44450, 971040, 160370
322179, -416, 1348, -394, 265510, 862540, -107520
322199, -342, 1457, -246, 392000, 785260, -207900
322219, -264, 1208, -255, 121800, 714280, -101290
322239, -213, 886, -351, -319970, 641690, 35140
322259, -183, 688, -395, -510160, 611170, 91280
322279, -217, 613, -347, -342440, 650440, 81620
322299, -272, 627, -230, -25200, 721630, 54320
322319, -292, 657, -115, 175980, 740320, 13020
322339, -272, 719, -59, 181650, 666260, -74340
322359, -219, 840, -126, 52850, 517370, -220220
322379, -165, 1020, -298, -87080, 376950, -351260
322399, -150, 1147, -425, -102760, 353570, -338100
322419, -251, 1160, -365, 31360, 476700, -123410
322439, -333, 1168, -289, 157220, 631260, 154980
322459, -330, 1109, -245, 154350, 679560, 282940
322479, -287, 1256, -296, 112000, 597170, 182490
322499, -248, 1627, -394, 138600, 468860, -20160
322519, -281, 1907, -457, 166390, 415170, -65240
322539, -374, 1796, -481, 53270, 466270, 152040
322559, -349, 1490, -440, -153510, 528570, 413630
322579, -285, 1325, -336, -196560, 509320, 429730
322599, -244, 1335, -245, -12390, 428610, 219030
322619, -201, 1271, -218, 91490, 338310, 42630
322639, -186, 1094, -270, -56630, 265790, 38850
322659, -180, 897, -298, -284830, 228340, 148680
322679, -168, 725, -247, -364630, 226310, 255710
322699, -164, 630, -155, -239260, 241010, 281680
322719, -163, 614, -73, -29330, 237860, 216160
