T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
199849, -73, -35, 994, 4130, -3360, 3990
199869, -52, -26, 1020, 280, -2310, 4900
199889, -41, -9, 1078, -1120, -2030, 3920
199909, -43, -1, 1054, 6650, -8960, -770
199929, -82, -5, 1010, 15330, -22260, -5180
199949, -106, -57, 1008, 10850, -23730, -4690
199969, -58, -31, 1062, -700, -10570, 560
199989, -51, -35, 1082, -4130, 3640, 3290
200009, -68, -48, 1103, 1330, -280, -1540
200029, -56, -18, 1107, 4200, -490, -6580
200049, -65, -3, 1075, 9730, -2170, -9520
200069, -56, 20, 1038, 12810, -12950, -8540
200089, -40, 11, 1020, 12320, -15120, -4480
200109, -113, -77, 1049, 8120, -7000, -2800
200129, -68, -22, 1105, 630, 770, -840
200149, -40, -1, 1097, 770, 9380, 770
200169, -49, 21, 1091, 11690, -2940, -560
200189, -57, 14, 1041, 15960, -12250, -2940
200209, -36, 31, 1060, 13650, -6020, -2520
200229, -62, -8, 1062, 8050, 3920, -210
200249, -93, -27, 1114, 1260, 11900, 700
200269, -99, -42, 1166, -4340, 20930, 1820
200289, -93, -37, 1135, -3430, 27440, 3990
200309, -120, -33, 1090, 2660, 26670, 5810
200329, -134, -24, 1056, 7210, 28280, 7630
200349, -145, -7, 1035, 7420, 38570, 9170
200369, -148, 10, 998, 5950, 45850, 9730
200389, -201, 26, 982, 5320, 42000, 8750
200409, -211, 32, 915, 7140, 26040, 7910
200429, -221, 21, 848, 11550, -2660, 8680
200449, -186, 69, 883, 11130, -19530, 11690
200469, -149, 91, 913, 1330, 8960, 15190
200489, -172, 102, 967, -1330, 36680, 12040
200509, -185, 115, 1024, -140, 27300, 11130
200529, -158, 143, 965, 4340, -8890, 10010
200549, -123, 164, 893, 4060, -30660, 6930
200569, -130, 187, 947, 2800, -4900, 1540
200589, -165, 105, 890, 1260, 11760, -5600
200609, -235, 163, 948, 3710, 2590, -14210
200629, -122, 162, 952, 840, 630, -23240
200649, -184, 142, 1012, 8330, 14350, -33110
200669, -175, 137, 986, 3430, 17710, -25550
200689, -210, 130, 924, 4200, 8470, -20720
200709, -212, 125, 868, 4760, 3990, -19390
200729, -285, 134, 763, 7350, 20440, -28630
200749, -234, 149, 673, 10640, 43050, -38570
200769, -173, 144, 455, 12320, 58940, -50680
200789, -62, 398, -31, 70840, 46550, -77000
200809, -134, 1202, -179, 369180, 14980, -92960
200829, -111, 966, -140, 565530, -40950, -182210
200849, -16, 602, -96, 357490, -129220, -271250
200869, 3, 817, -289, 137830, -121450, -170520
200889, -7, 1349, -520, 133140, -23030, 30520
200909, -147, 1989, -523, 422730, 207480, 359030
200929, -295, 1997, -226, 849590, 455560, 609280
200949, -174, 1997, -547, 895650, 399140, 367080
200969, 55, 1997, -1146, 438830, 51310, -215670
200989, -239, 1997, -909, 227430, 68110, -129710
201009, -351, 1997, -257, 602560, 517440, 601300
201029, -164, 1997, -468, 598640, 604730, 651910
201049, -3, 1997, -807, 327180, 245070, 980
201069, -239, 1997, -647, 281610, 167230, -103670
201089, -396, 1701, -332, 313250, 473130, 472990
201109, -230, 1028, -169, 152460, 667380, 828660
201129, -132, 924, -176, 41930, 506520, 521220
201149, -74, 793, -146, 130200, 250810, 23380
201169, -52, 594, -108, 172970, 136710, -172130
201189, -61, 375, -56, 92890, 147350, -84560
201209, -73, 265, -41, -27300, 185780, 77280
201229, -92, 289, -57, -122920, 203980, 191100
201249, -105, 320, -78, -176750, 200830, 245070
201269, -99, 207, -46, -181790, 181300, 241220
201289, -99, 119, -9, -97580, 139020, 148680
201309, -132, 172, -14, 57960, 67690, -33950
201329, -248, 497, -73, 185570, -14280, -222670
201349, -350, 1223, -229, 259630, -248430, -648480
201369, -186, 1997, -511, 189350, -378420, -833980
201389, -40, 1997, -654, 36470, -319690, -659680
201409, -144, 1997, -495, 48510, -95550, -215670
201429, -331, 1997, -423, 148190, -53480, -138250
201449, -256, 1997, -860, 59360, -327320, -624610
201469, 13, 1997, -997, -125650, -443520, -842100
201489, -150, 1997, -516, -8890, -174440, -400540
201509, -267, 1997, -332, 58590, -56420, -199640
201529, -209, 1997, -551, -177380, -267890, -570710
201549, -67, 1997, -686, -327040, -384160, -834400
201569, -56, 1852, -487, -163100, -215040, -627060
201589, -142, 1540, -251, 22120, 7490, -264600
201609, -154, 1247, -195, -79800, 46270, -165340
201629, -125, 1019, -226, -283850, -76510, -364910
201649, -91, 669, -182, -323400, -161980, -565040
201669, -71, 208, -39, -221830, -132230, -593390
201689, -59, 75, 12, -134890, -70980, -541240
201709, -54, 65, 26, -115640, -45640, -519680
201729, -54, 69, 37, -122150, -35840, -506940
201749, -45, 65, 35, -140840, -33880, -491260
201769, -37, 64, 33, -165620, -37450, -473410
201789, -27, 74, 31, -185920, -39970, -451850
201809, -11, 95, 23, -203350, -41860, -418390
201829, 120, 277, -112, -223650, -44030, -356790
201849, -471, 1266, -385, -253260, -13720, -165900
201869, -1296, 1231, -444, -389480, 248570, 751660
201889, -1998, 1997, -1224, -785470, 417270, 1771910
201909, -1998, 1790, -663, -1187900, 224770, 2159710
201929, -1868, 1912, -651, -1398810, -101080, 2284590
201949, -983, 1997, -1997, -350070, -1215270, 1130990
201969, 560, 1997, -1961, -643580, -2181900, -1110620
201989, -728, 1997, 710, 535150, -1076040, 576030
202009, -461, 1997, -543, 1844710, 179690, 1694840
202029, -130, 677, -669, -362950, -449400, 322000
202049, -41, 13, -764, -1449070, -973560, -551250
202069, -258, 712, -870, -303520, -716100, -545440
202089, -299, 1919, -1120, 1278970, -398580, -523460
202109, -138, 1997, -247, 1898680, -358330, -526540
202129, -657, 1997, -582, 1639120, -377370, -264530
202149, -505, 706, -418, 68880, -320320, 444150
202169, -478, 198, -291, -1104110, -466340, 796880
202189, -532, 367, -361, -611730, -813050, 317380
202209, -491, 449, -329, 120330, -1222690, -767970
202229, -407, 550, -315, -102480, -1212470, -806120
202249, -88, 390, -558, -298900, -1137290, -750050
202269, 50, 1, -313, -89600, -848050, -471310
202289, 5, 36, -162, 523110, -458500, -163660
202309, 0, 63, -182, 741090, -306180, -100870
202329, 22, 272, -468, 827680, -224770, -125230
202349, -99, 1969, -1033, 1115730, -88200, -136640
202369, -260, 1997, -282, 1718010, 89810, -79030
202389, -211, 1997, -717, 929320, -20510, -78330
202409, 67, 1734, -1320, -1065400, -359730, -290150
202429, -253, 1997, -1216, -488740, -315070, -370510
202449, -285, 1997, -172, 1375360, -171920, -408730
202469, -132, 1997, -509, 774270, -305130, -391930
202489, -50, 1072, -622, -807170, -416570, -269920
202509, -173, 758, -665, -873880, -370370, -206640
202529, -467, 1997, -756, 334040, -295820, -436940
202549, -150, 1997, -503, 1050770, -390670, -739620
202569, -108, 1997, -934, 217980, -479990, -620830
202589, -10, 986, -639, -929320, -303450, -16450
202609, -255, 858, -304, -545230, -153720, 207410
202629, -351, 965, -130, 432320, -240660, -226030
202649, -244, 529, -65, 550900, -442610, -643090
202669, -145, 307, -54, 154910, -549640, -721140
202689, -97, 278, -57, -145670, -552650, -659890
202709, -33, 342, -98, -294560, -512260, -596680
202729, 49, 251, -169, -390180, -442120, -497210
202749, 21, 95, -89, -417550, -304290, -269360
202769, 7, 111, -107, -332360, -122570, 13860
202789, 2, 239, -214, -238840, 11340, 214760
202809, -179, 633, -316, -124740, 161560, 417760
202829, -552, 1467, -565, 69090, 422730, 755090
202849, -1478, 1997, -993, 204540, 769930, 1198750
202869, -934, 897, -225, 125370, 1179220, 1737750
202889, -789, 1974, -372, -149870, 1318240, 1804320
202909, 105, 1997, -1155, 208320, 594580, 271810
202929, -578, 1997, -1877, 413070, -210210, -1219120
202949, -882, 1602, -1067, -655620, 228760, -216790
202969, -321, 439, -147, -1293180, 907970, 1252860
202989, -474, 1793, -261, -607320, 701190, 892290
203009, -21, 1997, -567, 406420, 166040, -310310
203029, -84, 1997, -1442, 116900, -208250, -938000
203049, -280, 1460, -1107, -1109920, -62790, -442890
203069, -294, 787, -236, -408100, 576660, 685020
203089, -453, 1174, -80, 611030, 350840, -7140
203109, -315, 1376, -39, 484120, -80010, -751800
203129, -115, 964, -178, -275100, -311780, -983150
203149, 57, 552, -199, -784490, -234010, -800730
203169, 88, 301, -244, -887600, -49980, -557130
203189, 36, 95, -182, -784000, 159530, -317660
203209, -10, 25, -134, -620900, 340410, -125860
203229, -36, 27, -128, -507990, 449470, -23800
203249, -58, 117, -168, -439390, 517020, 45710
203269, -158, 491, -299, -388570, 585690, 165270
203289, -499, 976, -465, -393750, 708470, 482510
203309, -1009, 1956, -900, -612850, 822290, 933870
203329, -1171, 1443, -915, -1105510, 814240, 1344140
203349, -433, 631, -252, -1265180, 503160, 1211490
203369, -669, 1997, -1127, -68740, -182000, -115360
203389, -108, 1997, -1489, 454650, -692440, -1106280
203409, -942, 1997, -936, -597660, -191870, 66990
203429, -392, 444, -47, -1027740, 335510, 1337770
203449, -464, 1360, -267, -362040, -12390, 770980
203469, -220, 1997, -652, 86870, -619500, -462210
203489, -49, 1997, -983, -335580, -788900, -762440
203509, -627, 1801, -643, -660100, -344750, 124180
203529, -581, 1227, -159, -454930, 221900, 1197910
203549, -397, 1094, 39, -170240, 322140, 1328670
203569, -264, 1977, -466, -19250, -164220, 347410
203589, 109, 1561, -713, -301280, -668500, -602630
203609, -48, 800, -354, -508270, -552230, -434980
203629, -139, 216, -23, -163310, -88410, 306040
203649, -150, 215, -20, 134400, 204190, 721280
203669, -157, 148, 8, 151830, 265160, 756770
203689, -153, 38, 50, 114730, 272300, 717780
203709, -150, -135, 122, 79450, 241150, 623350
203729, -156, -138, 112, 60760, 143920, 426790
203749, -208, 8, 48, 80640, -44450, 66990
203769, -359, 215, 8, 107170, -250320, -320740
203789, -724, 1133, -158, 94500, -419510, -641830
203809, -196, 1997, -973, 21630, -612990, -1033480
203829, 194, 1997, -1361, -102900, -797860, -1491420
203849, -510, 1997, -394, 165410, -472010, -1090530
203869, -506, 1399, 132, 660660, 366870, 333480
203889, -778, 1997, -791, 68530, 488040, 604870
203909, -180, 1997, -1155, -364980, -637280, -1584520
203929, -71, 1997, -597, 574280, -136920, -738360
203949, -330, 1571, -87, 388570, 353850, 303170
203969, -359, 1105, -93, -325990, 212730, 236320
203989, -554, 1853, -640, -425320, -310450, -718130
204009, -145, 1997, -856, 83720, -525000, -1289400
204029, -17, 1885, -440, 487760, -242550, -809200
204049, -228, 946, -90, 330400, 161910, 86800
204069, -183, 305, -26, -159250, 260120, 457870
204089, -118, 63, 0, -421120, 108430, 299810
204109, -77, 28, -15, -416920, -56490, 21140
204129, -66, 39, -22, -320530, -157220, -207690
204149, -68, 65, -36, -228620, -191520, -344400
204169, -64, 214, -172, -152600, -190820, -425740
204189, -3, 784, -484, -2940, -147350, -463330
204209, -16, 1452, -484, 428540, 39550, -298760
204229, -342, 1804, -243, 770490, 365330, 238910
204249, -607, 1411, -222, 439040, 620200, 828590
204269, -315, 911, -316, -400470, 549990, 981680
204289, -105, 1045, -534, -817320, 175140, 533330
204309, -37, 1997, -943, -159180, -91490, -83300
204329, -273, 1997, -528, 755370, 4060, -114730
204349, -602, 1997, -671, 445410, 324590, 581000
204369, -180, 1171, -500, -681030, 360080, 989380
204389, -73, 1997, -761, -509040, 34510, 534660
204409, -71, 1997, -481, 596190, -149450, 1120
204429, -401, 1997, -572, 629580, -67690, 154350
204449, -421, 1104, -490, -242830, 114030, 726460
204469, -125, 856, -314, -542710, 121030, 927500
204489, -128, 1330, -342, 108920, -9520, 566650
204509, -81, 1460, -220, 722610, -158900, 78260
204529, -98, 965, -197, 578690, -251090, -78050
204549, -111, 279, -93, 46690, -219730, 135940
204569, -86, 44, -40, -241430, -147140, 384090
204589, -66, 0, -41, -235130, -123690, 444430
204609, -59, -34, -25, -155330, -116480, 413840
204629, -68, -51, -13, -44520, -104230, 344330
204649, -103, 6, -17, 85820, -106680, 217420
204669, -193, 190, -5, 220430, -146860, 16240
204689, -325, 800, -9, 303310, -229950, -230720
204709, -212, 1844, -296, 232960, -364840, -496300
204729, 23, 1996, -804, -142380, -534660, -732340
204749, -88, 1492, -742, -765940, -531440, -611940
204769, -245, 1355, -229, -269290, 130130, 467040
204789, -405, 1997, -72, 169820, 48020, 152950
204809, -64, 1997, -888, -345940, -404320, -649950
204829, 269, 1997, -1302, -1087030, -439040, -748790
204849, -181, 1997, -693, -581490, 103110, 16870
204869, -352, 1997, -106, 98630, 355880, 302540
