T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
199049, 129, 80, 856, 46830, 33460, 13580
199069, 19, 76, 942, 56700, 71400, 14000
199089, -87, 65, 996, 65310, 101360, 9870
199109, -192, -4, 1157, 74130, 90510, 4760
199129, -493, -145, 1378, 27370, 138040, 4270
199149, -273, 102, 1340, -3360, 194390, 8260
199169, -168, 272, 1245, 38920, 125790, 1540
199189, -20, 293, 1279, 100940, -17710, 11480
199209, -21, 349, 1053, 105980, -113820, 19250
199229, -6, 280, 970, 84000, -110880, 24920
199249, 66, 490, 508, 44100, -62650, 25200
199269, 88, 346, 696, 54740, -19110, 31990
199289, -83, 312, 952, 97580, -65520, 39830
199309, -170, 351, 926, 73640, 4340, 46550
199329, -9, -120, -82, 3500, 54040, 34930
199349, -418, 84, 852, -256830, 102060, -7700
199369, -362, 156, 1155, -139300, 165130, -10500
199389, -297, 275, 1219, 9030, 112280, -7910
199409, -427, 248, 994, -16870, 56000, -17710
199429, -296, 133, 1034, -22400, 5320, -4690
199449, -312, 203, 905, 53480, -31780, 27090
199469, -203, 282, 799, 34580, 4200, -2730
199489, -399, 158, 1084, 27300, 19670, -13090
199509, -386, 131, 737, 910, 59850, -23660
199529, -368, -93, 906, -255220, 71400, -90300
199549, 168, -337, 313, -605360, -26460, -191800
199569, 368, -725, 55, -743330, -72800, -167160
199589, -480, -1576, -634, -801220, 148120, -178850
199609, -117, -1208, -1062, -947310, 304290, -338940
199629, -95, -40, -488, -449610, 125510, -325640
199649, -436, 86, 54, 398300, 577500, -289870
199669, -242, 105, 3, 744100, 852110, -12530
199689, -288, -168, -28, 409640, 780500, 27090
199709, -246, -132, -23, 208460, 773920, -99540
199729, -187, -127, 34, 128380, 746970, -196700
199749, -230, -264, -117, 9030, 702730, -207270
199769, -257, -244, -133, 11970, 691250, -282450
199789, -257, -180, -84, 179340, 644280, -348670
199809, -162, -125, 55, 284760, 589120, -387030
199829, 14, -401, 242, 205940, 541800, -345240
199849, -836, -1998, -1118, -134120, 379540, -1190
199869, -1467, -1998, -837, -28630, -69580, 643440
199889, -974, -1998, -1398, 51520, 91560, 301070
199909, -269, -413, 47, 635040, 198800, -319270
199929, -13, -396, 433, 754880, 229880, -493220
199949, -202, -1128, -546, -49070, 239960, -149380
199969, -704, -1998, -1223, -555100, 138250, 291830
199989, -785, -1998, -663, 149450, -105070, 454580
200009, -591, -1866, -514, 575260, 65170, 45500
200029, -217, -1106, -129, 386050, 340200, -320320
200049, -177, -892, -141, 243180, 299670, -171150
200069, -141, -938, -374, -51450, 349020, -55300
200089, -196, -1134, -558, -169750, 397460, 6650
200109, -284, -1087, -264, 174510, 237510, 218470
200129, -651, -1723, -483, 538370, 101640, 382900
200149, -435, -1485, -439, 315980, 280140, 230370
200169, -209, -933, -263, 60620, 551320, -115430
200189, -159, -693, -192, 84000, 517300, -57050
200209, -133, -606, -186, 103180, 414750, 117390
200229, -131, -541, -127, 83790, 371630, 197400
200249, -190, -497, -41, 111370, 309540, 288610
200269, -249, -623, -162, 79380, 243530, 387870
200289, -276, -752, -287, -79100, 240170, 372610
200309, -229, -615, -218, -138600, 299740, 206290
200329, -167, -471, -93, -6930, 365750, -21140
200349, -103, -448, -41, 144060, 372610, -157920
200369, -130, -645, -141, 187950, 313460, -153370
200389, -209, -976, -284, 158690, 212450, -40670
200409, -338, -1216, -317, 156520, 127190, 77490
200429, -441, -1357, -301, 187810, 58100, 172900
200449, -491, -1563, -603, 146160, 42000, 169540
200469, -396, -1273, -516, -13090, 130830, 12110
200489, -220, -960, -162, 117390, 175490, -178710
200509, -223, -987, -122, 409570, 115360, -227850
200529, -360, -1368, -453, 23590, 3990, 85750
200549, -424, -1509, -518, -10010, 29820, 74760
200569, -475, -1519, -477, 186410, 55860, -31500
200589, -363, -1348, -383, 237510, 125720, -170800
