T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
435365, -173, -116, 1046, -36050, -11270, 21350
435385, -161, 10, 890, -15750, -9800, 1190
435405, -169, -58, 912, -29610, -560, -1890
435425, -184, -153, 951, -65800, 13370, 8470
435445, -291, -230, 961, -76510, 22120, 12600
435465, -290, -235, 971, -67550, 14700, 12250
435485, -247, -192, 977, -48300, -2520, 9870
435505, -256, -133, 942, -18550, -7280, 6020
435525, -245, -150, 1032, -4200, -17150, 2730
435545, -208, -255, 1108, -25970, -25410, 4550
435565, -216, -142, 1090, -28840, -15190, 6860
435585, -228, -64, 1000, -17850, -17640, 8470
435605, -152, -97, 996, -39900, -17920, 15260
435625, -208, -319, 1127, -77700, -4200, 24920
435645, -295, -376, 1135, -101850, 15050, 27790
435665, -272, -401, 1003, -102060, 32340, 24920
435685, -281, -301, 953, -94640, 23450, 14630
435705, -386, -464, 999, -90300, 6020, 10990
435725, -387, -476, 989, -127890, 10290, 24920
435745, -351, -532, 844, -132230, 1260, 43960
435765, -393, -490, 706, -105770, -9310, 59010
435785, -512, -357, 563, -109620, -8540, 63840
435805, -385, -98, 168, -178640, -22120, 62510
435825, -268, -89, 389, -302330, 10290, 61320
435845, -126, -86, 54, -397040, 108360, 121520
435865, 10, -39, 10, -689010, 65100, 24290
435885, 128, -147, -129, -877170, 21700, -142310
435905, 136, -759, -413, -959420, 25480, -168560
435925, -881, -1998, -1997, -915320, 41230, -73500
435945, -483, -1998, 190, -450240, -29680, 167930
435965, -311, -680, 144, 710010, -164500, 388850
435985, -100, -363, -99, 246190, -56980, 39130
436005, -86, -317, -110, -266000, 129500, -520660
436025, 215, 122, 382, -158550, 254870, -675500
436045, 190, -200, 98, -68320, 276920, -581350
436065, 54, -1049, -626, -262850, -12110, -122360
436085, -8, -1990, -911, -464730, -275170, 329420
436105, -663, -1998, -722, -210770, -297850, 545160
436125, -404, -1108, -73, 410410, -194180, 572460
