T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
84505, 13, -72, 1086, -29680, -13440, 12250
84525, 83, 27, 1056, -31290, -24290, 13860
84545, 107, -39, 973, -26110, -14490, 12880
84565, -12, -101, 1076, -26670, -4970, 10850
84585, 51, -87, 1079, -23380, -2310, 2800
84605, 62, -94, 1044, -23870, 2590, 5600
84625, 9, -118, 1003, -25970, -7980, 7700
84645, 93, -69, 1052, -39340, 10220, -5460
84665, 67, -65, 1083, -28070, 11340, 5040
84685, 3, -142, 1082, -18830, -4130, 14910
84705, -49, -184, 998, -29190, -11970, 12180
84725, -45, -241, 935, -54110, 18060, -2310
84745, -86, -248, 929, -73920, 57190, -13510
84765, -142, -344, 868, -71610, 100100, -17780
84785, -109, -314, 935, -48860, 70070, -7910
84805, -326, -528, 809, -70000, 70350, -14280
84825, -382, -536, 837, -103950, 112140, -37310
84845, -332, -464, 748, -106680, 149170, -46760
84865, -308, -552, 798, -95270, 111090, -40530
84885, -278, -394, 883, -60270, 110250, -43190
84905, -319, -415, 858, 2800, 66640, -20510
84925, -292, -581, 746, 50680, 9450, 12600
84945, -351, -429, 887, -25200, 13300, -16520
84965, -304, -543, 823, -6860, 59990, -48440
84985, -258, -425, 717, -33250, 68040, -48160
85005, -259, -451, 625, -72940, 85610, -58660
85025, -281, -448, 601, -115080, 52640, -61740
85045, -203, -443, 632, -125230, 8400, -42770
85065, -252, -684, 518, -151340, 2590, -40600
85085, -215, -555, 553, -87780, 2590, -45150
85105, -179, -431, 566, 22050, 22750, -35350
85125, -215, -488, 655, -28140, 78330, -31500
85145, -256, -525, 807, -130830, 90720, -26390
85165, -194, -648, 777, -205590, 35560, -41370
85185, -226, -630, 730, -216440, -7000, -57330
85205, -238, -688, 644, -71680, 16590, -33460
85225, -541, -927, 889, 5600, 70630, -2660
85245, -244, -918, 862, -14210, 21630, -41720
85265, -334, -792, 773, 26740, -39130, -74270
85285, -322, -772, 633, 31150, -2660, -69440
85305, -324, -648, 566, -31780, 28070, -74480
85325, -316, -635, 378, -158200, 43610, -110110
85345, -210, -624, 64, -310800, -10850, -139090
85365, -400, -969, -176, -534380, 5530, -137130
85385, -301, -1530, -772, -679210, -124810, -45430
85405, -268, -1298, -604, -401730, -398790, 148820
85425, -201, -864, -124, 162960, -454090, 138740
85445, -113, -599, 28, 330190, -296590, -47040
85465, -22, -520, -156, -73640, -86310, -162190
85485, 42, -467, -191, -407190, 72240, -182980
85505, 23, -383, -165, -387450, 129850, -97230
85525, -25, -340, -178, -216230, 115290, 75110
85545, -37, -206, -79, 420, 114660, 192990
85565, -46, -66, 76, 202650, 168140, 195090
85585, -85, -108, 71, 258510, 208670, 190400
85605, -117, -189, 45, 149870, 214480, 202020
85625, -150, -286, 56, 26880, 226800, 157640
85645, -249, -695, -49, -66220, 246400, 57540
85665, -633, -1998, -709, -213920, 289030, -93240
85685, -303, -1998, -794, -442750, 433160, -340060
85705, -747, -1998, -838, -365610, 416920, -383250
85725, -839, -1988, -156, 248430, -154630, 243530
85745, -231, -1211, -448, 374570, -305760, 377930
85765, -77, -861, -334, -391860, 200970, -314720
85785, -28, -864, -180, -292670, 295750, -453740
85805, -139, -1177, -223, 110460, 118790, -185640
85825, -606, -1917, -191, 272930, -104860, 184730
85845, -725, -1998, -777, 271810, -249620, 445970
85865, -280, -1414, -610, -162330, -104160, 307020
85885, -29, -825, -133, -342020, 280420, -334110
85905, -141, -916, -28, 344330, -43260, 26600
85925, -292, -1279, -179, 92050, -147000, 270830
85945, -599, -1840, -570, -164640, -198870, 363160
85965, -651, -1998, -882, -271600, -89670, 139510
85985, -220, -1497, -391, 20300, 85820, -302470
86005, -255, -1230, -82, 349510, -91140, -167020
86025, -314, -1293, -334, 68460, -270410, 156870
86045, -394, -1460, -436, -165340, -299250, 208040
86065, -432, -1426, -498, -100940, -283990, 118090
86085, -250, -1110, -372, -6230, -153300, -164990
86105, -68, -1011, -134, 118720, -80920, -332360
86125, -306, -1324, -266, 137060, -207760, -88200
86145, -383, -1627, -535, -59010, -307230, 164010
