T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
217031, -67, -30, 1099, 5880, -13090, 3220
217051, -91, -52, 1054, 16520, -22890, -1680
217071, -97, -69, 1111, 19740, -45850, -1470
217091, -64, -53, 1109, 17920, -55510, 4270
217111, -37, -31, 1051, 22330, -71400, 10360
217131, -42, -22, 1032, 28070, -75740, 13580
217151, -27, -9, 1041, 24290, -50540, 12390
217171, -25, 2, 1072, 19110, -28280, 13720
217191, -31, 5, 1068, 16380, -16800, 16380
217211, -10, 10, 1098, 19320, -21560, 17500
217231, 28, 23, 1069, 25760, -41160, 19600
217251, 93, 77, 963, 36260, -73080, 20370
217271, 82, 84, 1001, 42280, -77490, 18550
217291, 113, 71, 1061, 36540, -40950, 22050
217311, 88, 55, 1170, 30940, -25690, 15890
217331, 6, 3, 1184, 38780, -45920, -1680
217351, 264, 200, 1008, 70630, -128870, -31990
217371, 369, 339, 612, 103320, -220500, -81340
217391, 299, 400, 709, 57820, -190120, -80570
217411, 203, 287, 884, 22750, -59990, -33740
217431, 218, 290, 915, 56700, 61950, -8050
217451, 200, 240, 1054, 23730, 74970, 5460
217471, 177, 209, 1099, 15750, 62370, 16870
217491, 271, 290, 943, 12180, -6160, 7910
217511, 257, 272, 948, 4830, 2660, 11480
217531, 217, 264, 930, 1400, 3150, 6370
217551, 169, 254, 961, -2730, 15820, 2030
217571, 176, 222, 1027, -7280, 33530, 12950
217591, 168, 192, 1001, -6440, 30870, 22470
217611, 160, 202, 1013, -3010, 15750, 17360
217631, 172, 229, 996, -1190, 4200, 3430
217651, 157, 252, 950, 3430, 490, -2590
217671, 164, 245, 885, -70, 8400, 1610
217691, 157, 255, 928, -13650, 28910, 5810
217711, 114, 248, 899, -25550, 37520, 4060
217731, 156, 253, 805, -24710, 18340, -3570
217751, 145, 262, 789, -22540, 12320, -17010
217771, 79, 250, 735, -22470, 28000, -50960
217791, 69, 243, 692, -28210, 4620, -95760
217811, 25, 300, 802, -39760, -23590, -130760
217831, -130, 322, -133, -40250, -48300, -159530
217851, -57, 145, -55, -26110, 78890, -105910
217871, -64, 112, -41, 57190, 310030, -15190
217891, -77, 356, -170, 132370, 353920, 24570
217911, -132, 1279, -486, 215880, 390670, 64400
217931, -275, 1995, -509, 472570, 511910, 188720
217951, -355, 1997, -244, 732760, 683900, 402850
217971, -213, 1997, -423, 575260, 679700, 400470
217991, -67, 1997, -843, 176120, 441630, 57120
218011, -255, 1997, -779, 128450, 356580, -60690
218031, -445, 1997, -480, 312200, 611520, 389690
218051, -275, 1908, -484, 140980, 777770, 713650
218071, -123, 1997, -657, -61390, 606200, 429800
218091, -217, 1997, -701, 56210, 439320, 110950
218111, -363, 1997, -636, 27860, 511490, 278810
218131, -214, 1470, -453, -335230, 609420, 576940
218151, -143, 1362, -323, -440860, 512400, 474320
218171, -118, 1162, -203, -138110, 362950, 164850
218191, -105, 714, -117, 4620, 288400, 26600
218211, -99, 294, -74, -173460, 256970, 65100
218231, -67, 158, -54, -382690, 220850, 121730
218251, -66, 197, -105, -466130, 172550, 127260
218271, -48, 252, -181, -464030, 133000, 114030
218291, -55, 163, -99, -353570, 119000, 86870
218311, -67, 165, -52, -60550, 152320, 49280
218331, -95, 346, -117, 355110, 180250, -10500
218351, -142, 868, -172, 460670, 156870, -46620
218371, -158, 1266, -205, 514850, 112490, -88620
218391, -139, 1473, -276, 401870, 48720, -101080
218411, -112, 1554, -412, 231770, 7630, -66360
218431, -118, 1769, -533, 292600, 25130, -11760
218451, -178, 1997, -554, 608160, 62090, -1960
218471, -179, 1997, -543, 765380, 28490, -68460
218491, -116, 1997, -706, 515270, -65870, -139300
218511, -114, 1997, -795, 354550, -87850, -111370
218531, -184, 1997, -676, 638750, -42770, -66150
218551, -165, 1997, -604, 761180, -84560, -134820
218571, -105, 1997, -686, 459270, -186830, -223510
218591, -122, 1997, -620, 358540, -198240, -199150
218611, -167, 1926, -432, 588840, -162260, -156450
218631, -163, 1577, -314, 621110, -199990, -195930
218651, -134, 1106, -256, 367500, -284970, -256340
218671, -86, 573, -163, 173810, -331240, -266070
218691, -101, 208, -71, 167230, -335930, -252350
218711, -98, 86, -33, 216580, -343700, -260820
218731, -99, 62, -28, 229250, -367150, -285390
218751, -102, 60, -27, 211820, -396060, -308210
218771, -105, 65, -25, 182140, -423990, -327390
218791, -100, 73, -29, 143430, -448770, -340830
218811, -90, 89, -37, 98490, -468300, -344960
218831, -60, 116, -65, 54180, -478730, -335650
218851, 72, 245, -227, 21210, -470400, -295960
218871, 45, 360, -189, 47180, -391090, -138180
218891, -96, 613, -159, 272160, -89180, 355600
218911, -499, 1985, -603, 487270, 245210, 829710
218931, -1816, 1997, -990, 559440, 588350, 1284570
218951, -1079, 793, 55, 389620, 1142540, 2028110
218971, -1011, 1997, -948, -194390, 1181390, 1972320
218991, 372, 1997, -1987, 198520, 61110, -58310
219011, -1836, 1997, -1658, 428470, -587440, -1173270
219031, -822, 634, -75, -242900, 471520, 900690
219051, -528, 1628, -396, -685580, 918400, 1919400
219071, -36, 1997, -764, 116620, 49700, 366800
219091, -477, 1997, -1100, 472360, -571760, -763350
219111, -1178, 1997, -708, -161140, -251020, 53270
219131, -463, 564, 42, -524930, 424410, 1513960
219151, -446, 1342, -238, -330050, 458150, 1669710
219171, -241, 1997, -600, 299670, -159740, 406070
219191, 19, 1212, -562, -224000, -660310, -409220
219211, -180, 305, -71, -204400, -228130, 438270
219231, -181, 151, 24, -3990, 13720, 856030
219251, -176, 155, 0, 33320, 32690, 882770
219271, -175, 113, 43, 51940, 29470, 865340
219291, -170, 46, 69, 66500, 14420, 821520
219311, -157, -74, 117, 75530, -32480, 728420
219331, -190, -197, 201, 80430, -131670, 554750
219351, -433, -63, 177, 34580, -321580, 255080
219371, -372, 466, 23, -182070, -626780, -198800
219391, -365, 1068, -188, -609210, -893620, -582960
219411, -431, 1997, -807, -1152690, -1008140, -719880
219431, -275, 1997, -1997, -1916180, -1046920, -614530
219451, 120, 1996, -1278, -1963850, -745430, 130410
219471, -514, 1997, 116, 468090, -25830, 955710
219491, -98, 1997, -1502, 1171380, -10780, 418390
219511, 81, 1535, -1598, -1559250, -602910, -464450
219531, -93, 1988, -763, -1576960, -238490, 85960
219551, -405, 1761, 75, 623210, 397880, 705250
219571, -231, 1987, -66, 820470, 454160, 558320
219591, 88, 1997, -1190, -830270, -102970, -205310
219611, 205, 1497, -1302, -1959020, -347060, -558670
219631, -341, 1997, -730, -999810, 99960, -109130
219651, -478, 1525, 303, 697760, 744520, 609210
219671, -119, 1445, -134, 332640, 690690, 455700
219691, 5, 968, -406, -894110, 57330, -564970
219711, 31, 363, -295, -1184540, -87150, -1047200
219731, -111, -20, -55, -770700, 209090, -929460
219751, -139, -35, -10, -331590, 494620, -684180
219771, -149, -8, 7, -159740, 578970, -593250
219791, -135, -2, 14, -88270, 572530, -565180
219811, -123, 26, 28, -43750, 542010, -533330
219831, -94, 91, 59, -11900, 501830, -487550
219851, -47, 386, 88, -8050, 451220, -411250
219871, -270, 767, -179, -99960, 385630, -256480
219891, -521, 740, -449, -549220, 318150, 160790
219911, -1027, 1995, -1035, -1210790, 195580, 685090
219931, -1965, 1997, -1534, -1570030, -35000, 985110
219951, -419, 139, -93, -1879850, -224630, 1623510
219971, -1464, 1997, -1138, -864360, -367500, 2061850
219991, -127, 1997, -1997, 1046500, -1040970, 449680
220011, -618, 1997, -820, -272020, -1671180, -814520
220031, -430, 1295, 306, -635250, -602560, 1117620
220051, -523, 1588, 17, 859600, -178220, 671720
220071, 47, 1997, -834, -359870, -875770, -537670
220091, 206, 1608, -1204, -840070, -777210, -308630
220111, -287, 1997, -773, 377720, 51030, 830410
220131, -708, 1790, 226, 1359540, 777980, 1486940
220151, -361, 1429, 69, 638050, 507500, 710640
220171, -81, 1520, -498, -464100, -288400, -652960
220191, 127, 893, -626, -696430, -353850, -885920
220211, -82, 441, -201, -91630, 127540, -257040
220231, -129, 189, -30, 369600, 508620, 311500
220251, -139, 253, -41, 372470, 574840, 434560
220271, -160, 168, 0, 281260, 564200, 464100
220291, -192, 157, 64, 163940, 536900, 486920
220311, -262, 42, 351, 26110, 453180, 427140
220331, -329, 453, 181, -220710, 184800, 100310
220351, -398, 1121, -124, -541590, -284480, -614040
220371, -298, 1750, -841, -716940, -558810, -1188390
220391, 18, 1997, -1164, -373450, -460180, -1352120
220411, -359, 1997, -359, 593880, 75950, -645330
220431, -607, 1510, -24, 656460, 583660, 391160
220451, -419, 1575, -332, -492800, 332150, 241290
220471, -513, 1997, -1179, -815850, -311850, -900480
220491, -32, 1997, -936, 53200, -447930, -1449910
220511, -340, 1997, -305, 759080, -72590, -775460
220531, -295, 1614, -324, 82530, 285180, 211330
220551, -603, 1961, -686, -933100, 30520, 68740
220571, -153, 1997, -1228, -487060, -468020, -929040
220591, -77, 1997, -619, 415170, -565320, -1274420
220611, -340, 1503, -400, 228550, -163870, -373520
220631, -233, 504, -201, -617260, 106260, 422380
220651, -235, 379, -120, -797370, -111020, 184170
220671, -205, 308, -64, -377160, -394730, -434980
220691, -173, 320, -48, -154980, -502950, -760970
220711, -116, 388, -105, -196000, -500850, -813540
