T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
273639, 41, 517, 942, 6720, 3850, 6020
273659, 51, 553, 873, 8470, -5110, 2660
273679, 51, 565, 925, -560, -5600, 2520
273699, 67, 514, 903, -5530, -4620, 2590
273719, 63, 554, 866, -140, -7140, -1540
273739, 47, 545, 867, -6020, -6510, -3920
273759, 68, 536, 903, -15540, -3290, -2590
273779, 40, 517, 852, -17850, -140, -1960
273799, 29, 513, 894, -17780, 420, 770
273819, 27, 534, 927, -15820, -4830, 1960
273839, 45, 501, 925, -18830, -13580, 2660
273859, 32, 517, 975, -16170, -19600, 4130
273879, 49, 524, 968, -14420, -26320, 9030
273899, 103, 560, 942, -11900, -38290, 14070
273919, 102, 530, 956, -13020, -42070, 15890
273939, 125, 475, 899, -30520, -38010, 13440
273959, 119, 436, 883, -39200, -34720, 8050
273979, 124, 459, 879, -22050, -25690, 3080
273999, 137, 433, 816, -6720, -23590, -70
274019, 148, 406, 781, -3710, -22750, -210
274039, 131, 436, 793, -1610, -13930, 420
274059, 133, 405, 756, 6230, -9170, -980
274079, 125, 411, 824, 7490, -8610, -490
274099, 114, 422, 851, 12670, -9240, -1330
274119, 129, 435, 748, 23380, -28490, -7070
274139, 192, 432, 487, 33110, -56910, -17010
274159, 179, 645, 382, 34090, -33600, -49910
274179, 141, 444, 115, 42910, 31360, -68180
274199, 162, 370, 33, 24080, 62790, -53550
274219, 142, 525, 24, -14210, 111930, -40530
274239, -26, 943, -432, -75880, 240940, 9590
274259, -124, 1288, -454, 18340, 304850, 87920
274279, -548, 1148, -585, 597310, 358470, 155120
274299, -565, 1417, -748, 487060, 879200, 181720
274319, -616, 1997, -762, 174650, 1342880, 19600
274339, -530, 1997, -562, 545650, 1337490, -56980
274359, -279, 1787, -819, 237020, 1342460, 103040
274379, -251, 1955, -1108, -629440, 1211350, 57190
274399, -560, 1997, -901, -829290, 1143800, -127050
274419, -390, 1566, -497, -379260, 1314880, -18620
274439, -387, 1594, -547, -476770, 1306970, -68740
274459, -407, 1651, -556, -606270, 996520, -701120
274479, -363, 1014, -345, -232680, 893270, -1042370
274499, -339, 442, -242, -75880, 1006040, -822780
274519, -365, 165, -203, -213710, 1037400, -641690
274539, -396, 152, -183, -25620, 1013390, -681450
274559, -386, 282, -156, 171780, 987630, -654150
274579, -331, 463, -76, 255290, 938000, -560350
274599, -234, 284, 33, 116550, 851340, -431550
274619, -168, 179, 56, -170590, 719740, -371630
274639, -163, 433, 34, -399700, 571550, -423430
274659, -181, 972, -206, -572530, 407820, -585690
274679, -209, 1631, -783, -518210, 276430, -850010
274699, -279, 1997, -861, 141540, 359730, -873460
274719, -343, 1997, -291, 687540, 581840, -429940
274739, -272, 1799, -433, 244720, 540750, -225470
274759, -276, 1997, -841, -63840, 235060, -620480
274779, -158, 1997, -650, 473480, 154490, -781340
274799, -192, 1735, -241, 738710, 301980, -379680
274819, -185, 1111, -201, 300860, 356090, -31290
274839, -186, 1002, -381, -63000, 215460, -115430
274859, -184, 1347, -481, 144200, 59780, -382830
274879, -117, 1468, -318, 567070, 16520, -469630
274899, -104, 1108, -117, 636580, 46690, -286930
274919, -106, 556, -36, 288890, 65030, -29050
274939, -93, 241, -14, -84350, 19390, 94990
274959, -91, 203, -33, -233660, -62510, 80570
274979, -106, 323, -93, -233800, -138670, 14490
274999, -115, 637, -181, -152530, -205660, -80290
275019, -95, 1081, -255, -14280, -255710, -175700
275039, -99, 1403, -295, 63700, -263340, -166530
275059, -240, 1370, -334, -59010, -206360, 49140
275079, -320, 1256, -363, -342580, -132090, 381850
275099, -272, 1193, -345, -539770, -140000, 581840
275119, -205, 1567, -432, -463190, -250110, 517650
275139, -132, 1997, -607, -199640, -396900, 279580
275159, -260, 1997, -659, -56350, -449260, 205940
