T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
181379, 60, -3, 1095, -7210, 14490, -12390
181399, -6, -73, 935, -7770, 15540, -16590
181419, 133, 60, 1098, -6790, 19250, -36050
181439, 88, -11, 1027, -1050, 8260, -31360
181459, 83, -23, 1095, -3780, 2730, -19460
181479, 104, -63, 967, -7140, -5950, -18130
181499, 68, -48, 1005, -11620, 350, -21770
181519, 63, -35, 1011, -9170, 4060, -23310
181539, 47, -43, 1023, -9030, 5250, -25340
181559, 16, -52, 998, -9940, 15540, -27790
181579, 31, -34, 987, -10780, 17920, -31360
181599, 31, -29, 968, -7490, 9170, -31150
181619, 40, 14, 1041, -2800, -1190, -29330
181639, 73, 38, 1038, -2450, -2520, -30940
181659, 111, -1, 953, -12180, -1120, -33110
181679, 158, -6, 901, -23100, 1260, -34580
181699, 208, 67, 760, -26250, 17360, -35000
181719, 86, 135, 1070, -15610, 28000, -24010
181739, -18, 117, 1195, 16870, 700, 13580
181759, -22, 43, 1115, 26530, -34790, 38920
181779, 8, -13, 1055, 15400, -31710, 34090
181799, 34, -58, 985, 1820, -10920, 19740
181819, 55, -86, 900, -10570, 5180, 8260
181839, -3, -70, 1012, -13860, 12950, 4130
181859, 26, -37, 1040, -5950, 11480, 3080
181879, -9, -47, 1054, -490, 2660, 3570
181899, -22, -28, 1079, 3150, -6300, 6860
181919, 36, 20, 1140, 1120, -4480, 3150
181939, 33, -25, 1032, -3920, 3220, -3920
181959, 40, -20, 1034, -11480, 2100, -4060
181979, 30, -45, 978, -12390, 1050, -2380
181999, 42, -7, 1048, -9030, -8610, 2380
182019, 57, 15, 1056, -2100, -14840, 7840
182039, 36, -1, 1047, 280, -12530, 9730
182059, 38, -10, 1054, -3990, -5390, 9170
182079, 34, -37, 1043, -7840, -3710, 7210
182099, 45, -43, 1036, -8680, -4970, 7350
182119, 47, -35, 1063, -9590, -3640, 6650
182139, 34, -65, 1015, -11830, -3780, 6650
182159, 33, -47, 1065, -12460, -5600, 6930
182179, 29, -56, 1048, -14070, -2310, 5390
182199, 26, -59, 1019, -16380, 3010, 3920
182219, 32, -55, 1015, -16100, 4760, 3710
182239, 25, -55, 1018, -13440, -3290, 8190
182259, 40, -60, 1016, -11830, -6650, 11620
182279, 48, -76, 1034, -12600, -6370, 10710
182299, 27, -113, 1000, -12180, -7770, 9030
182319, 12, -107, 1006, -13930, -5740, 8610
182339, -37, -75, 1016, -5040, -2380, 5180
182359, -5, -128, 1008, -1890, 4690, 2520
182379, 12, -138, 978, -10640, 8330, 7210
182399, 5, -157, 987, -5600, -3780, 10990
182419, 66, -78, 1085, 2730, -26390, 7840
182439, 28, -106, 1054, 2380, -29400, 2240
182459, 26, -130, 996, -6230, -16870, -1470
182479, 63, -106, 1012, -11830, 4690, -8610
182499, 66, -110, 999, -11130, 17150, -11760
182519, 58, -114, 1023, -9450, 12740, -10010
182539, 66, -100, 1040, -5390, -1050, -5880
182559, 50, -104, 1032, -3990, -8750, -4130
182579, 58, -105, 1019, -5320, -7420, -3640
182599, 63, -111, 1006, -4830, -5670, -3430
182619, 53, -121, 1012, -4270, -3850, -3920
182639, 55, -115, 995, -3290, -2030, -4200
182659, 62, -85, 1028, -1820, -910, -5460
182679, 65, -60, 1037, 980, -4340, -7070
182699, 60, -56, 1048, 980, -3500, -6860
182719, 70, -58, 1039, -140, -3570, -3640
182739, 70, -63, 1040, -770, -3570, -1260
182759, 41, -68, 1043, 420, 70, 1470
182779, 48, -55, 1062, 2870, 5320, 5740
182799, 58, -60, 1047, 5740, -140, 9660
182819, 53, -74, 1053, 6720, -9590, 10290
182839, 56, -104, 1017, 6020, -15890, 10920
182859, 45, -88, 1061, 6020, -21420, 13790
182879, 38, -33, 1170, 8330, -18480, 13720
182899, 20, -71, 1193, 9310, -13720, 11130
182919, 85, -107, 1069, 2030, -11830, 7560
182939, 147, -102, 1102, -5950, -16240, 700
182959, 137, -101, 1078, -3780, -21000, -840
182979, 101, -84, 1173, 350, -21560, -210
182999, 85, -119, 1094, -1820, -31220, 3990
183019, 78, -128, 1085, -4830, -30660, 4690
183039, 122, -113, 1075, -4760, -20860, -70
183059, 124, -107, 1055, -6930, -16800, -2730
183079, 98, -138, 1020, -7280, -21140, 280
183099, 111, -126, 995, -9380, -15960, 770
183119, 114, -113, 993, -7280, -12040, 910
183139, 153, -76, 1020, -7140, -6370, 1120
183159, 146, -62, 1014, -9240, -8260, 1400
183179, 134, -75, 1014, -11690, -16100, 5040
183199, 128, -111, 957, -14560, -22050, 10080
183219, 143, -122, 926, -16030, -20650, 13650
183239, 110, -150, 908, -13300, -9870, 17360
183259, 87, -152, 965, -9240, 9170, 21630
183279, 151, -101, 975, -4410, 7000, 14840
183299, 156, -93, 956, -910, -10220, 7630
183319, 149, -97, 973, 2660, -28000, 7560
183339, 133, -139, 936, 2800, -33810, 9030
183359, 129, -153, 952, -1050, -28140, 10150
183379, 128, -154, 968, -1260, -22050, 10710
183399, 161, -143, 960, 770, -16800, 8960
183419, 161, -157, 921, 700, -12250, 7840
183439, 147, -138, 999, 3710, -9940, 10570
183459, 218, -93, 999, 14910, -18620, 16240
183479, 214, -105, 955, 18550, -16450, 19110
183499, 162, -93, 1050, 12530, -18270, 18830
183519, 203, -88, 995, 17500, -23310, 17430
183539, 250, -72, 956, 12670, -10850, 10010
183559, 191, -102, 1000, 4970, 4480, -1960
183579, 143, -162, 974, 12810, -14770, 210
183599, 211, -105, 982, 14070, -29540, 6650
183619, 224, -105, 988, 5460, -16240, 2870
183639, 205, -114, 1005, 280, -20790, 3990
183659, 173, -119, 1012, -2590, -10220, 5600
183679, 153, -117, 979, -10990, 20020, 3430
183699, 163, -118, 1002, -16940, 43470, -2660
183719, 176, -114, 1012, -16380, 46690, -6160
183739, 151, -106, 991, -14840, 37870, -4480
183759, 126, -107, 1008, -10850, 31220, -4130
183779, 179, -82, 997, -6650, 22190, 280
183799, 172, -120, 991, 70, 32200, 10080
183819, 143, -95, 1052, 1680, 24500, 16520
183839, 121, -132, 1005, -4760, 12670, 16940
183859, 79, -136, 1002, -11270, 6580, 17220
183879, 96, -138, 1029, -12950, 8820, 10640
183899, 78, -127, 1023, -10360, 13300, 1400
183919, 83, -108, 1043, -10990, 23730, -8680
183939, 117, -123, 1050, -12530, 36470, -14210
183959, 89, -128, 1038, -16100, 34300, -4550
183979, 63, -116, 999, -23870, 33390, 10640
183999, 10, -147, 1049, -23660, 29540, 23310
184019, 48, -155, 1063, -27440, 13580, 35560
184039, 31, -145, 1064, -55790, 5740, 30310
184059, -22, -223, 1032, -94080, 12600, 31220
184079, -88, -155, 1194, -164780, 21350, 31640
184099, -54, -348, 845, -334460, 46620, 12040
184119, -49, -807, 443, -551670, 70630, 6580
184139, 47, -581, 930, -414190, 55720, 32690
184159, -23, -679, 701, -52920, 26530, 49000
184179, -50, -682, 754, -25620, 31010, 37100
184199, -103, -589, 971, -31780, 25900, 20790
184219, -72, -489, 906, -98280, 24710, 280
184239, -107, -732, 524, -359240, 36960, -15400
184259, -204, -1070, 178, -569240, 37450, -1120
184279, -192, -1023, 155, -503650, 21770, 30520
184299, -165, -868, 210, -281260, 280, 31710
184319, -169, -984, 24, -190050, -9100, 27230
184339, -176, -1040, -171, -272370, -10640, 43540
184359, -197, -913, -24, -268730, -2800, 48160
184379, -211, -913, -114, -216300, 8190, 26250
184399, -253, -912, -313, -257320, 7350, 15540
184419, -233, -909, -463, -281470, -1680, 24430
184439, -226, -875, -525, -283640, 1680, 26880
184459, -262, -857, -572, -253540, 9310, 14840
184479, -214, -821, -608, -188510, 7350, 1190
184499, -221, -800, -599, -114450, -980, -8540
184519, -182, -780, -557, -68950, 350, -16100
184539, -141, -840, -590, -36610, 10080, -28840
184559, -126, -809, -608, -41020, 22890, -41230
184579, -149, -824, -558, -54670, 33320, -43680
184599, -146, -832, -627, -65730, 45360, -43400
184619, -162, -815, -631, -66990, 46410, -35840
