T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
2513, 31, 133, 1023, -5950, 12810, 1540
2533, 44, 153, 1015, -4970, 11830, 1120
2553, 33, 152, 1020, -8610, 17010, -980
2573, 5, 158, 994, -8190, 14350, -3360
2593, -11, 166, 1015, -8820, 13020, -4690
2613, -27, 151, 1001, -10220, 15400, -7420
2633, -29, 152, 982, -10850, 13090, -9310
2653, -10, 148, 990, -11620, 8400, -8610
2673, -5, 145, 980, -11200, 4340, -8820
2693, -35, 132, 1021, -12320, 2800, -8190
2713, -49, 120, 963, -12040, 490, -6300
2733, -8, 119, 991, -14140, 700, -3220
2753, -14, 104, 1021, -17010, 7420, 1820
2773, -40, 79, 1016, -15890, 1400, 6020
2793, -53, 74, 1005, -10780, -6370, 6510
2813, -59, 73, 994, -2940, -6930, 7000
2833, -50, 63, 1016, -770, -4270, 8260
2853, -29, 60, 1014, -5460, -1400, 9800
2873, -54, 62, 1067, -11130, -3500, 17640
2893, -40, 67, 1071, -1260, 5040, 11900
2913, -54, 57, 1063, 7350, -210, 840
2933, -59, 66, 1035, 10850, -6090, -1960
2953, -53, 74, 1029, 9800, -6790, -2100
2973, -48, 77, 1055, 9170, -2730, -1540
2993, -38, 74, 1080, 7910, 4620, -1120
3013, -39, 76, 1050, 5740, 1050, 140
3033, -52, 78, 1066, 210, -5390, 2520
3053, -30, 98, 1060, -560, -5950, 3430
3073, -25, 96, 1068, 5530, -7210, 2730
3093, -33, 101, 1065, 16310, -5670, 0
3113, -14, 124, 1048, 17500, -6790, 70
3133, -14, 148, 1045, 16030, -5600, 980
3153, -61, 127, 996, 15680, -6160, 0
3173, -51, 137, 974, 17500, -11760, -2660
3193, -29, 158, 967, 16660, -13370, -3220
3213, -30, 172, 963, 9590, 3220, -6020
3233, -45, 148, 951, -140, 11550, -9310
3253, -64, 155, 970, -8680, 13160, -14490
3273, -147, 149, 870, -9800, 9450, -19810
3293, -163, 215, 687, -5530, 4620, -29120
3313, -182, 497, 1, 7420, 17500, -73780
3333, -58, 458, -146, 107730, 19390, -176400
3353, -43, 229, -48, 348530, -125230, -207900
3373, -44, 265, -44, 417480, -81410, -106610
3393, -81, 765, -131, 386050, -40530, -33250
3413, -149, 1246, -310, 212870, 56490, 192710
3433, -179, 1280, -350, 146020, 158480, 372400
