T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
108312, -102, -220, 961, -70700, 70700, -9800
108332, 139, -101, 683, -56980, 74270, -4200
108352, 125, 50, 1158, -196000, 50820, -14770
108372, -111, -273, 948, -11760, 75460, -13440
108392, -173, -372, 1036, -18830, 27860, 15610
108412, 5, -139, 1042, -60550, 52990, -5040
108432, -16, -151, 968, -96110, 81550, -37170
108452, -147, -517, 610, 13020, 85540, -67550
108472, -256, -378, 841, -12810, -4200, -38640
108492, -193, -288, 1120, -23450, 83370, -61110
108512, -141, -179, 746, -37240, 72030, -33180
108532, 151, 103, 1049, -105070, 120050, -59290
108552, -14, -258, 714, -1400, 90720, -80010
108572, -293, -164, 1014, 128800, -58450, -23030
108592, -313, -228, 978, 29120, 2170, -83230
108612, -66, -54, 793, 11690, 27790, -101430
108632, -136, -102, 726, 69440, 36120, -121730
108652, -272, -121, 843, 42980, 49000, -118160
108672, -264, 170, 860, -14000, 106820, -164360
108692, -243, 22, 1507, -42210, 30310, -153580
108712, -66, -331, 776, -387590, -64750, -167440
108732, 57, -108, 773, -486220, -117530, -94990
108752, -166, -160, 893, -133910, 36330, -35490
108772, -202, -254, 1087, -149940, 75460, -12810
108792, -105, -332, 1109, 91140, -3220, -13790
108812, -261, -323, 1336, 70070, -9590, 5740
108832, -48, -345, 1151, 52570, 980, -4270
108852, -89, -274, 771, -49700, 65030, 12040
108872, -88, -233, 1166, -27720, 72590, 20300
108892, -238, -418, 1323, 18550, 46130, 20440
108912, -446, -749, 1052, -232260, 30450, 4480
108932, -50, -685, 569, -506520, 10640, -40810
108952, -332, -709, 762, -383390, 2450, -4620
108972, -501, -933, 823, -161910, 44380, 66570
108992, -536, -929, 900, -142660, 33180, 50050
109012, -212, -807, 684, -121450, -23310, -15820
109032, -259, -1002, 593, 47530, -136360, -155330
109052, -123, -1055, 623, 65730, -154420, -196070
109072, -219, -1051, 695, -11690, -92260, -62370
109092, -138, -946, 531, -89460, -47040, 53760
109112, -62, -815, 509, -136220, -22120, 110530
109132, -78, -742, 427, -138810, -4690, 119980
109152, -148, -816, 428, -58030, -3850, 83230
109172, -187, -918, 435, 6090, -11200, 14560
109192, -178, -889, 458, 26530, -10780, -11900
109212, -151, -852, 472, 4130, -1330, -5530
109232, -40, -606, 464, -29190, 6160, 6650
109252, -231, -697, 295, -37520, 9450, -2730
109272, -19, -838, -288, -61670, 17500, -28280
109292, -124, -747, -165, -104230, 53900, -90860
109312, -93, -680, -137, -44800, 134050, -55440
109332, -50, -543, -145, 30730, 158200, 25690
109352, -83, -598, -199, 13020, 211960, 110390
109372, -185, -604, -97, -24710, 308700, 115080
109392, -113, -663, -101, -16030, 398720, 47250
109412, -168, -878, -225, 28280, 392980, 50050
109432, -270, -1248, -426, -63280, 492380, 65240
109452, -289, -1547, -621, -70490, 637420, -490
109472, -253, -1451, -486, 73500, 720930, 39620
109492, -481, -1513, -645, 122290, 730730, 255920
109512, -470, -1272, -674, 111300, 826630, 254310
109532, -404, -955, -495, 254940, 934220, 102410
109552, -367, -898, -382, 355040, 963130, 80500
109572, -379, -1159, -466, 287210, 959700, 128100
109592, -481, -1696, -656, 178850, 933870, 215250
109612, -624, -1896, -815, 160510, 863310, 365680
109632, -435, -1063, -591, 220360, 863030, 374640
109652, -296, -477, -319, 337960, 926310, 278740
109672, -309, -456, -251, 338940, 970690, 286090
109692, -384, -805, -335, 190890, 1015700, 329770
109712, -500, -1540, -573, -16870, 1042090, 343630
109732, -747, -1998, -931, -170660, 1008280, 372260
109752, -632, -1899, -775, -187390, 956060, 360150
109772, -353, -976, -411, -23590, 987840, 188160
109792, -366, -850, -393, 101220, 974120, 164010
109812, -389, -824, -355, 141330, 913290, 229740
109832, -478, -1051, -423, 189770, 888020, 184520
109852, -500, -1237, -484, 185220, 908390, 52220
109872, -357, -1186, -260, 217630, 929530, -108780
109892, -245, -1033, -243, 214200, 878150, -121660
109912, -221, -892, -332, 46690, 764680, 18760
109932, -182, -671, -269, -16800, 645400, 143780
109952, -167, -580, -194, 81060, 568470, 185570
109972, -175, -531, -118, 191520, 500640, 212170
109992, -216, -597, -143, 240100, 436730, 232820
110012, -209, -625, -145, 218960, 403830, 194110
110032, -174, -625, -108, 192640, 400680, 79520
110052, -133, -601, -73, 167090, 390600, -14420
110072, -139, -633, -134, 95480, 368200, -36960
110092, -138, -659, -147, 2310, 344540, -18830
110112, -137, -678, -134, -33810, 327250, -13230
110132, -140, -791, -167, -36680, 302120, 3920
110152, -195, -998, -302, -57610, 278040, 37450
110172, -258, -1182, -389, -64820, 252980, 89880
110192, -321, -1225, -341, 30590, 246960, 105700
110212, -312, -1113, -220, 172060, 277970, 53200
110232, -240, -1010, -221, 213150, 349790, -55720
110252, -186, -951, -249, 102340, 431830, -155050
110272, -186, -990, -262, 22820, 464800, -166320
110292, -262, -1177, -334, 82040, 390880, 31430
110312, -345, -1392, -417, 130830, 355390, 94500
110332, -399, -1543, -442, 192360, 352870, 65310
110352, -432, -1662, -431, 238490, 363510, -7700
110372, -390, -1597, -405, 226870, 364490, -78330
110392, -263, -1305, -289, 207270, 330540, -108640
110412, -215, -1158, -235, 193130, 249480, -65800
110432, -264, -1245, -282, 165970, 141470, 26250
110452, -339, -1452, -358, 159250, 56700, 62230
110472, -372, -1565, -369, 183750, 10290, 5880
110492, -292, -1387, -302, 182560, -12530, -94640
110512, -261, -1301, -274, 144480, -58030, -139090
110532, -265, -1263, -322, 108640, -138670, -110320
110552, -274, -1268, -311, 98210, -210070, -91840
110572, -304, -1331, -316, 125580, -266840, -96180
110592, -301, -1316, -344, 86520, -293090, -123410
110612, -262, -1130, -275, 47530, -300440, -161980
110632, -215, -1040, -257, 32690, -297010, -208950
110652, -196, -986, -241, 5530, -301140, -218400
110672, -179, -897, -261, -13090, -312830, -190540
110692, -153, -757, -199, -4620, -311150, -178010
110712, -114, -613, -118, 46550, -304150, -186760
110732, -88, -569, -88, 50190, -298760, -185010
110752, -95, -597, -95, 1820, -299950, -153930
110772, -120, -709, -172, -73010, -310240, -92960
110792, -174, -889, -242, -142520, -316050, -37730
110812, -214, -1014, -271, -145810, -321720, -8890
110832, -215, -1067, -314, -116410, -314720, -27860
110852, -178, -922, -251, -72520, -304080, -69510
110872, -134, -730, -166, -6230, -299460, -105840
110892, -86, -591, -119, 23030, -300370, -122990
110912, -81, -570, -130, 0, -308000, -109830
110932, -105, -612, -153, -23030, -331660, -55090
